defined_class	defined_class_label	mechanism	mechanism_label	target	target_label
http://purl.obolibrary.org/obo/GO_1902646	regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1902635	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate biosynthetic process
http://purl.obolibrary.org/obo/GO_1902641	regulation of 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1902634	1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate catabolic process
http://purl.obolibrary.org/obo/GO_1900956	regulation of 17-methylnonadec-1-ene biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900883	17-methylnonadec-1-ene biosynthetic process
http://purl.obolibrary.org/obo/GO_1900959	regulation of 17-methylnonadec-1-ene metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900882	17-methylnonadec-1-ene metabolic process
http://purl.obolibrary.org/obo/GO_1900950	regulation of 18-methylnonadec-1-ene biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900881	18-methylnonadec-1-ene biosynthetic process
http://purl.obolibrary.org/obo/GO_1900953	regulation of 18-methylnonadec-1-ene metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900880	18-methylnonadec-1-ene metabolic process
http://purl.obolibrary.org/obo/GO_1905868	regulation of 3'-UTR-mediated mRNA stabilization	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0070935	3'-UTR-mediated mRNA stabilization
http://purl.obolibrary.org/obo/GO_0060634	regulation of 4,6-pyruvylated galactose residue biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0051072	4,6-pyruvylated galactose residue biosynthetic process
http://purl.obolibrary.org/obo/GO_0140971	regulation of AIM2 inflammasome complex assembly	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0140970	AIM2 inflammasome complex assembly
http://purl.obolibrary.org/obo/GO_1904717	regulation of AMPA glutamate receptor clustering	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0097113	AMPA glutamate receptor clustering
http://purl.obolibrary.org/obo/GO_0032012	regulation of ARF protein signal transduction	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0032011	ARF protein signal transduction
http://purl.obolibrary.org/obo/GO_1903891	regulation of ATF6-mediated unfolded protein response	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0036500	ATF6-mediated unfolded protein response
http://purl.obolibrary.org/obo/GO_2001169	regulation of ATP biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006754	ATP biosynthetic process
http://purl.obolibrary.org/obo/GO_1903578	regulation of ATP metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0046034	ATP metabolic process
http://purl.obolibrary.org/obo/GO_0098904	regulation of AV node cell action potential	http://purl.obolibrary.org/obo/GO_0050789	regulation of biological process	http://purl.obolibrary.org/obo/GO_0086016	AV node cell action potential
http://purl.obolibrary.org/obo/GO_0034315	regulation of Arp2/3 complex-mediated actin nucleation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0034314	Arp2/3 complex-mediated actin nucleation
http://purl.obolibrary.org/obo/GO_1905864	regulation of Atg1/ULK1 kinase complex assembly	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1904745	Atg1/ULK1 kinase complex assembly
http://purl.obolibrary.org/obo/GO_0050864	regulation of B cell activation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0042113	B cell activation
http://purl.obolibrary.org/obo/GO_0002670	regulation of B cell anergy	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002515	B cell anergy
http://purl.obolibrary.org/obo/GO_0002622	regulation of B cell antigen processing and presentation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002450	B cell antigen processing and presentation
http://purl.obolibrary.org/obo/GO_0002902	regulation of B cell apoptotic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0001783	B cell apoptotic process
http://purl.obolibrary.org/obo/GO_2000537	regulation of B cell chemotaxis	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035754	B cell chemotaxis
http://purl.obolibrary.org/obo/GO_0002721	regulation of B cell cytokine production	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002368	B cell cytokine production
http://purl.obolibrary.org/obo/GO_0002867	regulation of B cell deletion	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002516	B cell deletion
http://purl.obolibrary.org/obo/GO_0045577	regulation of B cell differentiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0030183	B cell differentiation
http://purl.obolibrary.org/obo/GO_0002712	regulation of B cell mediated immunity	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0019724	B cell mediated immunity
http://purl.obolibrary.org/obo/GO_0030888	regulation of B cell proliferation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0042100	B cell proliferation
http://purl.obolibrary.org/obo/GO_0050855	regulation of B cell receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0050853	B cell receptor signaling pathway
http://purl.obolibrary.org/obo/GO_0002661	regulation of B cell tolerance induction	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002514	B cell tolerance induction
http://purl.obolibrary.org/obo/GO_0001924	regulation of B-1 B cell differentiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0001923	B-1 B cell differentiation
http://purl.obolibrary.org/obo/GO_2001284	regulation of BMP secretion	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0038055	BMP secretion
http://purl.obolibrary.org/obo/GO_0030510	regulation of BMP signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0030509	BMP signaling pathway
http://purl.obolibrary.org/obo/GO_1903080	regulation of C-C chemokine receptor CCR7 signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0038118	C-C chemokine receptor CCR7 signaling pathway
http://purl.obolibrary.org/obo/GO_1905289	regulation of CAMKK-AMPK signaling cascade	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0061762	CAMKK-AMPK signaling cascade
http://purl.obolibrary.org/obo/GO_2000559	regulation of CD24 production	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035724	CD24 biosynthetic process
http://purl.obolibrary.org/obo/GO_0045223	regulation of CD4 production	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0045222	CD4 biosynthetic process
http://purl.obolibrary.org/obo/GO_0032829	regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002361	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation
http://purl.obolibrary.org/obo/GO_0032832	regulation of CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002298	CD4-positive, CD25-positive, alpha-beta regulatory T cell differentiation involved in immune response
http://purl.obolibrary.org/obo/GO_2000514	regulation of CD4-positive, alpha-beta T cell activation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035710	CD4-positive, alpha-beta T cell activation
http://purl.obolibrary.org/obo/GO_1900279	regulation of CD4-positive, alpha-beta T cell costimulation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035783	CD4-positive, alpha-beta T cell costimulation
http://purl.obolibrary.org/obo/GO_0043370	regulation of CD4-positive, alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0043367	CD4-positive, alpha-beta T cell differentiation
http://purl.obolibrary.org/obo/GO_2000561	regulation of CD4-positive, alpha-beta T cell proliferation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035739	CD4-positive, alpha-beta T cell proliferation
http://purl.obolibrary.org/obo/GO_2000348	regulation of CD40 signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0023035	CD40 signaling pathway
http://purl.obolibrary.org/obo/GO_2001185	regulation of CD8-positive, alpha-beta T cell activation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0036037	CD8-positive, alpha-beta T cell activation
http://purl.obolibrary.org/obo/GO_0043376	regulation of CD8-positive, alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0043374	CD8-positive, alpha-beta T cell differentiation
http://purl.obolibrary.org/obo/GO_2000449	regulation of CD8-positive, alpha-beta T cell extravasation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035697	CD8-positive, alpha-beta T cell extravasation
http://purl.obolibrary.org/obo/GO_2000564	regulation of CD8-positive, alpha-beta T cell proliferation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035740	CD8-positive, alpha-beta T cell proliferation
http://purl.obolibrary.org/obo/GO_2000452	regulation of CD8-positive, alpha-beta cytotoxic T cell extravasation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035698	CD8-positive, alpha-beta cytotoxic T cell extravasation
http://purl.obolibrary.org/obo/GO_0150143	regulation of CD80 production	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035780	CD80 biosynthetic process
http://purl.obolibrary.org/obo/GO_0150140	regulation of CD86 production	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0035781	CD86 biosynthetic process
http://purl.obolibrary.org/obo/GO_0003400	regulation of COPII vesicle coating	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0048208	COPII vesicle coating
http://purl.obolibrary.org/obo/GO_0090111	regulation of COPII vesicle uncoating	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0090112	COPII vesicle uncoating
http://purl.obolibrary.org/obo/GO_0032489	regulation of Cdc42 protein signal transduction	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0032488	Cdc42 protein signal transduction
http://purl.obolibrary.org/obo/GO_0140215	regulation of D-aspartate import across plasma membrane	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0070779	D-aspartate import across plasma membrane
http://purl.obolibrary.org/obo/GO_0043469	regulation of D-xylose catabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0042843	D-xylose catabolic process
http://purl.obolibrary.org/obo/GO_1904523	regulation of DNA amplification	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006277	DNA amplification
http://purl.obolibrary.org/obo/GO_2000278	regulation of DNA biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process
http://purl.obolibrary.org/obo/GO_1903624	regulation of DNA catabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006308	DNA catabolic process
http://purl.obolibrary.org/obo/GO_2000001	regulation of DNA damage checkpoint	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0000077	DNA damage checkpoint signaling
http://purl.obolibrary.org/obo/GO_0043516	regulation of DNA damage response, signal transduction by p53 class mediator	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0030330	DNA damage response, signal transduction by p53 class mediator
http://purl.obolibrary.org/obo/GO_1902162	regulation of DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator
http://purl.obolibrary.org/obo/GO_1901535	regulation of DNA demethylation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0080111	DNA demethylation
http://purl.obolibrary.org/obo/GO_1903775	regulation of DNA double-strand break processing	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0000729	DNA double-strand break processing
http://purl.obolibrary.org/obo/GO_1905462	regulation of DNA duplex unwinding	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0032508	DNA duplex unwinding
http://purl.obolibrary.org/obo/GO_0032875	regulation of DNA endoreduplication	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0042023	DNA endoreduplication
http://purl.obolibrary.org/obo/GO_0051105	regulation of DNA ligation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006266	DNA ligation
http://purl.obolibrary.org/obo/GO_0051052	regulation of DNA metabolic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006259	DNA metabolic process
http://purl.obolibrary.org/obo/GO_0090308	regulation of DNA methylation-dependent heterochromatin formation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006346	DNA methylation-dependent heterochromatin formation
http://purl.obolibrary.org/obo/GO_0062109	regulation of DNA recombinase disassembly	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1990986	DNA recombinase disassembly
http://purl.obolibrary.org/obo/GO_1903872	regulation of DNA recombinase mediator complex assembly	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1903871	DNA recombinase mediator complex assembly
http://purl.obolibrary.org/obo/GO_0000018	regulation of DNA recombination	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006310	DNA recombination
http://purl.obolibrary.org/obo/GO_0006282	regulation of DNA repair	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/GO_0006275	regulation of DNA replication	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006260	DNA replication
http://purl.obolibrary.org/obo/GO_2000621	regulation of DNA replication termination	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006274	DNA replication termination
http://purl.obolibrary.org/obo/GO_0060382	regulation of DNA strand elongation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0022616	DNA strand elongation
http://purl.obolibrary.org/obo/GO_0110026	regulation of DNA strand resection involved in replication fork processing	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0110025	DNA strand resection involved in replication fork processing
http://purl.obolibrary.org/obo/GO_0090329	regulation of DNA-templated DNA replication	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006261	DNA-templated DNA replication
http://purl.obolibrary.org/obo/GO_0030174	regulation of DNA-templated DNA replication initiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006270	DNA replication initiation
http://purl.obolibrary.org/obo/GO_0006355	regulation of DNA-templated transcription	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006351	DNA-templated transcription
http://purl.obolibrary.org/obo/GO_0032784	regulation of DNA-templated transcription elongation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006354	DNA-templated transcription elongation
http://purl.obolibrary.org/obo/GO_2000142	regulation of DNA-templated transcription initiation	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006352	DNA-templated transcription initiation
http://purl.obolibrary.org/obo/GO_0060628	regulation of ER to Golgi vesicle-mediated transport	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0006888	endoplasmic reticulum to Golgi vesicle-mediated transport
http://purl.obolibrary.org/obo/GO_1904292	regulation of ERAD pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0036503	ERAD pathway
http://purl.obolibrary.org/obo/GO_1901184	regulation of ERBB signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0038127	ERBB signaling pathway
http://purl.obolibrary.org/obo/GO_1905578	regulation of ERBB3 signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0038129	ERBB3 signaling pathway
http://purl.obolibrary.org/obo/GO_0070372	regulation of ERK1 and ERK2 cascade	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0070371	ERK1 and ERK2 cascade
http://purl.obolibrary.org/obo/GO_0070376	regulation of ERK5 cascade	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0070375	ERK5 cascade
http://purl.obolibrary.org/obo/GO_1900670	regulation of F-9775A biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900611	F-9775A biosynthetic process
http://purl.obolibrary.org/obo/GO_1900675	regulation of F-9775B biosynthetic process	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1900614	F-9775B biosynthetic process
http://purl.obolibrary.org/obo/GO_1905644	regulation of FACT complex assembly	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_1905635	FACT complex assembly
http://purl.obolibrary.org/obo/GO_1902044	regulation of Fas signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0036337	Fas signaling pathway
http://purl.obolibrary.org/obo/GO_0045219	regulation of FasL production	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0045210	FasL biosynthetic process
http://purl.obolibrary.org/obo/GO_0060368	regulation of Fc receptor mediated stimulatory signaling pathway	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0002431	Fc receptor mediated stimulatory signaling pathway
http://purl.obolibrary.org/obo/GO_1905449	regulation of Fc-gamma receptor signaling pathway involved in phagocytosis	http://purl.obolibrary.org/obo/GO_0065007	biological regulation	http://purl.obolibrary.org/obo/GO_0038096	Fc-gamma receptor signaling pathway involved in phagocytosis
