defined_class	defined_class_label	input	input_label
http://purl.obolibrary.org/obo/GO_0002114	interleukin-33 receptor activity	http://purl.obolibrary.org/obo/PR_000001389	interleukin-33
http://purl.obolibrary.org/obo/GO_0004913	interleukin-4 receptor activity	http://purl.obolibrary.org/obo/PR_000001391	interleukin-4
http://purl.obolibrary.org/obo/GO_0004914	interleukin-5 receptor activity	http://purl.obolibrary.org/obo/PR_000001392	interleukin-5
http://purl.obolibrary.org/obo/GO_0004915	interleukin-6 receptor activity	http://purl.obolibrary.org/obo/PR_000001393	interleukin-6
http://purl.obolibrary.org/obo/GO_0004917	interleukin-7 receptor activity	http://purl.obolibrary.org/obo/PR_000001317	interleukin-7
http://purl.obolibrary.org/obo/GO_0004918	interleukin-8 receptor activity	http://purl.obolibrary.org/obo/PR_000001395	interleukin-8
http://purl.obolibrary.org/obo/GO_0004919	interleukin-9 receptor activity	http://purl.obolibrary.org/obo/PR_000001396	interleukin-9
http://purl.obolibrary.org/obo/GO_0004923	leukemia inhibitory factor receptor activity	http://purl.obolibrary.org/obo/PR_000009799	leukemia inhibitory factor
http://purl.obolibrary.org/obo/GO_0001632	leukotriene B4 receptor activity	http://purl.obolibrary.org/obo/CHEBI_57461	leukotriene B4(1-)
http://purl.obolibrary.org/obo/GO_0004974	leukotriene receptor activity	http://purl.obolibrary.org/obo/CHEBI_25029	leukotriene
http://purl.obolibrary.org/obo/GO_0001877	lipoarabinomannan immune receptor activity	http://purl.obolibrary.org/obo/CHEBI_59524	lipoarabinomannan
http://purl.obolibrary.org/obo/GO_0001875	lipopolysaccharide immune receptor activity	http://purl.obolibrary.org/obo/CHEBI_16412	lipopolysaccharide
http://purl.obolibrary.org/obo/GO_0070892	lipoteichoic acid immune receptor activity	http://purl.obolibrary.org/obo/CHEBI_28640	lipoteichoic acid
http://purl.obolibrary.org/obo/GO_0070915	lysophosphatidic acid receptor activity	http://purl.obolibrary.org/obo/CHEBI_52288	1-octadec-9-enoylglycero-3-phosphate
http://purl.obolibrary.org/obo/GO_0036319	mating-type M-factor pheromone receptor activity	http://purl.obolibrary.org/obo/CHEBI_64120	M-factor
http://purl.obolibrary.org/obo/GO_0036320	mating-type P-factor pheromone receptor activity	http://purl.obolibrary.org/obo/CHEBI_64121	P-factor
http://purl.obolibrary.org/obo/GO_0008502	melatonin receptor activity	http://purl.obolibrary.org/obo/CHEBI_16796	melatonin
http://purl.obolibrary.org/obo/GO_0038047	morphine receptor activity	http://purl.obolibrary.org/obo/CHEBI_58097	morphine(1+)
http://purl.obolibrary.org/obo/GO_0004983	neuropeptide Y receptor activity	http://purl.obolibrary.org/obo/PR_000011387	neuropeptide Y
http://purl.obolibrary.org/obo/GO_0070553	nicotinic acid receptor activity	http://purl.obolibrary.org/obo/CHEBI_32544	nicotinate
http://purl.obolibrary.org/obo/GO_0031963	nuclear cortisol receptor activity	http://purl.obolibrary.org/obo/CHEBI_17650	cortisol
http://purl.obolibrary.org/obo/GO_0030284	nuclear estrogen receptor activity	http://purl.obolibrary.org/obo/GOCHE_50114	substance with estrogen role
http://purl.obolibrary.org/obo/GO_0004883	nuclear glucocorticoid receptor activity	http://purl.obolibrary.org/obo/CHEBI_24261	glucocorticoid
http://purl.obolibrary.org/obo/GO_0003707	nuclear steroid receptor activity	http://purl.obolibrary.org/obo/CHEBI_26764	steroid hormone
http://purl.obolibrary.org/obo/GO_0016502	nucleotide receptor activity	http://purl.obolibrary.org/obo/CHEBI_36976	nucleotide
http://purl.obolibrary.org/obo/GO_0004989	octopamine receptor activity	http://purl.obolibrary.org/obo/CHEBI_58025	octopaminium
http://purl.obolibrary.org/obo/GO_0004924	oncostatin-M receptor activity	http://purl.obolibrary.org/obo/PR_000012059	oncostatin-M
http://purl.obolibrary.org/obo/GO_0016499	orexin receptor activity	http://purl.obolibrary.org/obo/PR_000008476	hypocretin neuropeptide precursor
http://purl.obolibrary.org/obo/GO_0004990	oxytocin receptor activity	http://purl.obolibrary.org/obo/CHEBI_7872	oxytocin
http://purl.obolibrary.org/obo/GO_0001602	pancreatic polypeptide receptor activity	http://purl.obolibrary.org/obo/PR_000013164	pancreatic prohormone
http://purl.obolibrary.org/obo/GO_0004991	parathyroid hormone receptor activity	http://purl.obolibrary.org/obo/PR_000013429	parathyroid hormone
http://purl.obolibrary.org/obo/GO_0001601	peptide YY receptor activity	http://purl.obolibrary.org/obo/PR_000013526	peptide YY
http://purl.obolibrary.org/obo/GO_0036318	peptide pheromone receptor activity	http://purl.obolibrary.org/obo/CHEBI_38579	peptide pheromone
http://purl.obolibrary.org/obo/GO_0001653	peptide receptor activity	http://purl.obolibrary.org/obo/CHEBI_16670	peptide
http://purl.obolibrary.org/obo/GO_0016019	peptidoglycan immune receptor activity	http://purl.obolibrary.org/obo/CHEBI_8005	peptidoglycan
http://purl.obolibrary.org/obo/GO_0016503	pheromone receptor activity	http://purl.obolibrary.org/obo/GOCHE_26013	substance with pheromone role
http://purl.obolibrary.org/obo/GO_0001565	phorbol ester receptor activity	http://purl.obolibrary.org/obo/CHEBI_37532	phorbol ester
http://purl.obolibrary.org/obo/GO_0001634	pituitary adenylate cyclase-activating polypeptide receptor activity	http://purl.obolibrary.org/obo/PR_000003761	pituitary adenylate cyclase-activating polypeptide
http://purl.obolibrary.org/obo/GO_0004992	platelet activating factor receptor activity	http://purl.obolibrary.org/obo/CHEBI_52450	2-O-acetyl-1-O-octadecyl-sn-glycero-3-phosphocholine
http://purl.obolibrary.org/obo/GO_0001873	polysaccharide immune receptor activity	http://purl.obolibrary.org/obo/CHEBI_18154	polysaccharide
http://purl.obolibrary.org/obo/GO_0004925	prolactin receptor activity	http://purl.obolibrary.org/obo/PR_000013246	prolactin
http://purl.obolibrary.org/obo/GO_0016501	prostacyclin receptor activity	http://purl.obolibrary.org/obo/CHEBI_57403	prostaglandin I2(1-)
http://purl.obolibrary.org/obo/GO_0004956	prostaglandin D receptor activity	http://purl.obolibrary.org/obo/CHEBI_26337	prostaglandins D
http://purl.obolibrary.org/obo/GO_0004957	prostaglandin E receptor activity	http://purl.obolibrary.org/obo/CHEBI_26338	prostaglandins E
http://purl.obolibrary.org/obo/GO_0004958	prostaglandin F receptor activity	http://purl.obolibrary.org/obo/CHEBI_26340	prostaglandins F
http://purl.obolibrary.org/obo/GO_0001785	prostaglandin J receptor activity	http://purl.obolibrary.org/obo/CHEBI_26346	prostaglandins J
http://purl.obolibrary.org/obo/GO_0004955	prostaglandin receptor activity	http://purl.obolibrary.org/obo/CHEBI_26333	prostaglandin
http://purl.obolibrary.org/obo/GO_0004954	prostanoid receptor activity	http://purl.obolibrary.org/obo/CHEBI_26347	prostanoid
http://purl.obolibrary.org/obo/GO_0001614	purinergic nucleotide receptor activity	http://purl.obolibrary.org/obo/CHEBI_26395	purine nucleotide
http://purl.obolibrary.org/obo/GO_0015055	secretin receptor activity	http://purl.obolibrary.org/obo/PR_000014543	secretin
http://purl.obolibrary.org/obo/GO_0017154	semaphorin receptor activity	http://purl.obolibrary.org/obo/PR_000001926	semaphorin
http://purl.obolibrary.org/obo/GO_0004994	somatostatin receptor activity	http://purl.obolibrary.org/obo/CHEBI_64628	somatostatin
http://purl.obolibrary.org/obo/GO_0038036	sphingosine-1-phosphate receptor activity	http://purl.obolibrary.org/obo/CHEBI_60119	sphingosine 1-phosphate(1-)
http://purl.obolibrary.org/obo/GO_0005020	stem cell factor receptor activity	http://purl.obolibrary.org/obo/PR_000009345	kit ligand
http://purl.obolibrary.org/obo/GO_0008281	sulfonylurea receptor activity	http://purl.obolibrary.org/obo/CHEBI_26831	N,N''-sulfonyldiurea
http://purl.obolibrary.org/obo/GO_0004961	thromboxane A2 receptor activity	http://purl.obolibrary.org/obo/CHEBI_57445	thromboxane A2(1-)
http://purl.obolibrary.org/obo/GO_0004960	thromboxane receptor activity	http://purl.obolibrary.org/obo/CHEBI_26995	thromboxane
http://purl.obolibrary.org/obo/GO_0004996	thyroid-stimulating hormone receptor activity	http://purl.obolibrary.org/obo/PR_000028269	thyroid stimulating hormone
http://purl.obolibrary.org/obo/GO_0005024	transforming growth factor beta receptor activity	http://purl.obolibrary.org/obo/PR_000000046	TGF-beta
http://purl.obolibrary.org/obo/GO_1990081	trimethylamine receptor activity	http://purl.obolibrary.org/obo/CHEBI_58389	trimethylammonium
http://purl.obolibrary.org/obo/GO_0008226	tyramine receptor activity	http://purl.obolibrary.org/obo/CHEBI_327995	tyraminium
http://purl.obolibrary.org/obo/GO_0030377	urokinase plasminogen activator receptor activity	http://purl.obolibrary.org/obo/PR_000012826	urokinase-type plasminogen activator
http://purl.obolibrary.org/obo/GO_0005000	vasopressin receptor activity	http://purl.obolibrary.org/obo/CHEBI_9937	vasopressin
