defined_class	defined_class_label	entity	entity_label
http://purl.obolibrary.org/obo/GO_1905921	regulation of acetylcholine biosynthetic process	http://purl.obolibrary.org/obo/GO_0008292	acetylcholine biosynthetic process
http://purl.obolibrary.org/obo/GO_0030832	regulation of actin filament length	http://purl.obolibrary.org/obo/OBA_0000011	actin filament length
http://purl.obolibrary.org/obo/GO_0140192	regulation of adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process	http://purl.obolibrary.org/obo/GO_0086023	adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process
http://purl.obolibrary.org/obo/GO_0140193	regulation of adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process	http://purl.obolibrary.org/obo/GO_0086096	adenylate cyclase-inhibiting adrenergic receptor signaling pathway involved in heart process
http://purl.obolibrary.org/obo/GO_1903391	regulation of adherens junction organization	http://purl.obolibrary.org/obo/GO_0034332	adherens junction organization
http://purl.obolibrary.org/obo/GO_0090066	regulation of anatomical structure size	http://purl.obolibrary.org/obo/OBA_0000015	anatomical structure size
http://purl.obolibrary.org/obo/GO_0002002	regulation of angiotensin levels in blood	http://purl.obolibrary.org/obo/OBA_0000016	angiotensin levels in blood
http://purl.obolibrary.org/obo/GO_2000027	regulation of animal organ morphogenesis	http://purl.obolibrary.org/obo/GO_0009887	animal organ morphogenesis
http://purl.obolibrary.org/obo/GO_0032098	regulation of appetite	http://purl.obolibrary.org/obo/OBA_0000018	appetite
http://purl.obolibrary.org/obo/GO_0075017	regulation of appressorium formation	http://purl.obolibrary.org/obo/GO_0075016	appressorium formation
http://purl.obolibrary.org/obo/GO_0075026	regulation of appressorium initiation	http://purl.obolibrary.org/obo/GO_0075025	initiation of appressorium formation
http://purl.obolibrary.org/obo/GO_0075036	regulation of appressorium maturation	http://purl.obolibrary.org/obo/GO_0075035	appressorium maturation
http://purl.obolibrary.org/obo/GO_0075329	regulation of arbuscule formation for nutrient acquisition from host	http://purl.obolibrary.org/obo/GO_0075328	formation by symbiont of arbuscule for nutrient acquisition from host
http://purl.obolibrary.org/obo/GO_0150070	regulation of arginase activity	http://purl.obolibrary.org/obo/GO_0004053	arginase activity
http://purl.obolibrary.org/obo/GO_0016243	regulation of autophagosome size	http://purl.obolibrary.org/obo/OBA_0000022	autophagic vacuole size
http://purl.obolibrary.org/obo/GO_0031133	regulation of axon diameter	http://purl.obolibrary.org/obo/OBA_0000023	axon diameter
http://purl.obolibrary.org/obo/GO_0065008	regulation of biological quality	http://purl.obolibrary.org/obo/OBA_0000001	biological attribute
http://purl.obolibrary.org/obo/GO_0110149	regulation of biomineralization	http://purl.obolibrary.org/obo/GO_0110148	biomineralization
http://purl.obolibrary.org/obo/GO_0050878	regulation of body fluid levels	http://purl.obolibrary.org/obo/OBA_0000036	body fluid levels
http://purl.obolibrary.org/obo/GO_0060378	regulation of brood size	http://purl.obolibrary.org/obo/OBA_0000037	brood size
http://purl.obolibrary.org/obo/GO_0031413	regulation of buoyancy	http://purl.obolibrary.org/obo/OBA_0000039	buoyancy
http://purl.obolibrary.org/obo/GO_0110097	regulation of calcium import into the mitochondrion	http://purl.obolibrary.org/obo/GO_0036444	calcium import into the mitochondrion
http://purl.obolibrary.org/obo/GO_0150037	regulation of calcium-dependent activation of synaptic vesicle fusion	http://purl.obolibrary.org/obo/GO_0099502	calcium-dependent activation of synaptic vesicle fusion
http://purl.obolibrary.org/obo/GO_0061999	regulation of cardiac endothelial to mesenchymal transition	http://purl.obolibrary.org/obo/GO_0140074	cardiac endothelial to mesenchymal transition
http://purl.obolibrary.org/obo/GO_0062042	regulation of cardiac epithelial to mesenchymal transition	http://purl.obolibrary.org/obo/GO_0060317	cardiac epithelial to mesenchymal transition
http://purl.obolibrary.org/obo/GO_0086036	regulation of cardiac muscle cell membrane potential	http://purl.obolibrary.org/obo/OBA_0000046	cardiac muscle cell membrane potential
http://purl.obolibrary.org/obo/GO_0060305	regulation of cell diameter	http://purl.obolibrary.org/obo/OBA_0000048	cell diameter
http://purl.obolibrary.org/obo/GO_1905915	regulation of cell differentiation involved in phenotypic switching	http://purl.obolibrary.org/obo/GO_0090679	cell differentiation involved in phenotypic switching
http://purl.obolibrary.org/obo/GO_1905933	regulation of cell fate determination	http://purl.obolibrary.org/obo/GO_0001709	cell fate determination
http://purl.obolibrary.org/obo/GO_1901888	regulation of cell junction assembly	http://purl.obolibrary.org/obo/GO_0034329	cell junction assembly
http://purl.obolibrary.org/obo/GO_0032536	regulation of cell projection size	http://purl.obolibrary.org/obo/OBA_0000051	cell projection size
http://purl.obolibrary.org/obo/GO_0008360	regulation of cell shape	http://purl.obolibrary.org/obo/OBA_0000052	cell shape
http://purl.obolibrary.org/obo/GO_0008361	regulation of cell size	http://purl.obolibrary.org/obo/OBA_0000055	cell size
http://purl.obolibrary.org/obo/GO_0001952	regulation of cell-matrix adhesion	http://purl.obolibrary.org/obo/GO_0007160	cell-matrix adhesion
http://purl.obolibrary.org/obo/GO_0010810	regulation of cell-substrate adhesion	http://purl.obolibrary.org/obo/GO_0031589	cell-substrate adhesion
http://purl.obolibrary.org/obo/GO_0090109	regulation of cell-substrate junction assembly	http://purl.obolibrary.org/obo/GO_0007044	cell-substrate junction assembly
http://purl.obolibrary.org/obo/GO_0150116	regulation of cell-substrate junction organization	http://purl.obolibrary.org/obo/GO_0150115	cell-substrate junction organization
http://purl.obolibrary.org/obo/GO_0032535	regulation of cellular component size	http://purl.obolibrary.org/obo/OBA_0000057	cellular component size
http://purl.obolibrary.org/obo/GO_0050794	regulation of cellular process	http://purl.obolibrary.org/obo/GO_0009987	cellular process
http://purl.obolibrary.org/obo/GO_1905957	regulation of cellular response to alcohol	http://purl.obolibrary.org/obo/GO_0097306	cellular response to alcohol
http://purl.obolibrary.org/obo/GO_0140255	regulation of cellular response to phosphate starvation	http://purl.obolibrary.org/obo/GO_0016036	cellular response to phosphate starvation
http://purl.obolibrary.org/obo/GO_0044537	regulation of circulating fibrinogen levels	http://purl.obolibrary.org/obo/OBA_0000061	circulating fibrinogen levels
http://purl.obolibrary.org/obo/GO_0110116	regulation of compound eye photoreceptor cell differentiation	http://purl.obolibrary.org/obo/GO_0001751	compound eye photoreceptor cell differentiation
http://purl.obolibrary.org/obo/GO_0150065	regulation of deacetylase activity	http://purl.obolibrary.org/obo/GO_0019213	deacetylase activity
http://purl.obolibrary.org/obo/GO_0106288	regulation of deadenylation-dependent decapping of nuclear-transcribed mRNA	http://purl.obolibrary.org/obo/GO_0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA
http://purl.obolibrary.org/obo/GO_0044127	regulation of development of symbiont in host	http://purl.obolibrary.org/obo/GO_0044114	development of symbiont in host
http://purl.obolibrary.org/obo/GO_0061389	regulation of direction of cell growth	http://purl.obolibrary.org/obo/OBA_0000066	direction of cell growth
http://purl.obolibrary.org/obo/GO_0032955	regulation of division septum assembly	http://purl.obolibrary.org/obo/GO_0000917	division septum assembly
http://purl.obolibrary.org/obo/GO_0016476	regulation of embryonic cell shape	http://purl.obolibrary.org/obo/OBA_0000067	embryonic cell shape
http://purl.obolibrary.org/obo/GO_0051036	regulation of endosome size	http://purl.obolibrary.org/obo/OBA_0000068	endosome size
http://purl.obolibrary.org/obo/GO_0061963	regulation of entry into reproductive diapause	http://purl.obolibrary.org/obo/GO_0055116	entry into reproductive diapause
http://purl.obolibrary.org/obo/GO_2000535	regulation of entry of bacterium into host cell	http://purl.obolibrary.org/obo/GO_0035635	entry of bacterium into host cell
http://purl.obolibrary.org/obo/GO_0075040	regulation of establishment of turgor in appressorium	http://purl.obolibrary.org/obo/GO_0075039	establishment of turgor in appressorium
http://purl.obolibrary.org/obo/GO_0106163	regulation of exonucleolytic catabolism of deadenylated mRNA	http://purl.obolibrary.org/obo/GO_0043928	exonucleolytic catabolism of deadenylated mRNA
http://purl.obolibrary.org/obo/GO_0051893	regulation of focal adhesion assembly	http://purl.obolibrary.org/obo/GO_0048041	focal adhesion assembly
http://purl.obolibrary.org/obo/GO_0120182	regulation of focal adhesion disassembly	http://purl.obolibrary.org/obo/GO_0120181	focal adhesion disassembly
http://purl.obolibrary.org/obo/GO_0032533	regulation of follicle cell microvillus length	http://purl.obolibrary.org/obo/OBA_0000072	follicle cell microvillus length
http://purl.obolibrary.org/obo/GO_0075045	regulation of formation by symbiont of haustorium for nutrient acquisition from host	http://purl.obolibrary.org/obo/GO_0052094	formation by symbiont of haustorium for nutrient acquisition from host
http://purl.obolibrary.org/obo/GO_1905942	regulation of formation of growth cone in injured axon	http://purl.obolibrary.org/obo/GO_0048689	formation of growth cone in injured axon
http://purl.obolibrary.org/obo/GO_1905936	regulation of germ cell proliferation	http://purl.obolibrary.org/obo/GO_0036093	germ cell proliferation
http://purl.obolibrary.org/obo/GO_0075010	regulation of germ tube formation	http://purl.obolibrary.org/obo/GO_0075009	germ tube formation
http://purl.obolibrary.org/obo/GO_1905939	regulation of gonad development	http://purl.obolibrary.org/obo/GO_0008406	gonad development
http://purl.obolibrary.org/obo/GO_0075193	regulation of haustorium mother cell formation	http://purl.obolibrary.org/obo/GO_0075192	haustorium mother cell formation
http://purl.obolibrary.org/obo/GO_0002027	regulation of heart rate	http://purl.obolibrary.org/obo/OBA_0000074	heart contraction rate
http://purl.obolibrary.org/obo/GO_0061960	regulation of heme oxygenase activity	http://purl.obolibrary.org/obo/GO_0004392	heme oxygenase (decyclizing) activity
http://purl.obolibrary.org/obo/GO_0110089	regulation of hippocampal neuron apoptotic process	http://purl.obolibrary.org/obo/GO_0110088	hippocampal neuron apoptotic process
http://purl.obolibrary.org/obo/GO_0150166	regulation of histone H3-K4 acetylation	http://purl.obolibrary.org/obo/GO_0043973	histone H3-K4 acetylation
http://purl.obolibrary.org/obo/GO_0010817	regulation of hormone levels	http://purl.obolibrary.org/obo/OBA_0000079	hormone levels
http://purl.obolibrary.org/obo/GO_0075188	regulation of hyphopodium formation	http://purl.obolibrary.org/obo/GO_0075187	hyphopodium formation
http://purl.obolibrary.org/obo/GO_0110137	regulation of imaginal disc-derived leg joint morphogenesis	http://purl.obolibrary.org/obo/GO_0007480	imaginal disc-derived leg morphogenesis
http://purl.obolibrary.org/obo/GO_0044719	regulation of imaginal disc-derived wing size	http://purl.obolibrary.org/obo/OBA_0000084	imaginal disc-derived wing size
http://purl.obolibrary.org/obo/GO_0110107	regulation of imaginal disc-derived wing vein specification	http://purl.obolibrary.org/obo/GO_0007474	imaginal disc-derived wing vein specification
http://purl.obolibrary.org/obo/GO_0075184	regulation of infection cushion formation	http://purl.obolibrary.org/obo/GO_0075183	infection cushion formation
http://purl.obolibrary.org/obo/GO_0150151	regulation of interleukin-17A production	http://purl.obolibrary.org/obo/GO_0097087	interleukin-17A production
http://purl.obolibrary.org/obo/GO_0150189	regulation of interleukin-32 production	http://purl.obolibrary.org/obo/GO_0072637	interleukin-32 production
http://purl.obolibrary.org/obo/GO_0150127	regulation of interleukin-33 production	http://purl.obolibrary.org/obo/GO_0072639	interleukin-33 production
http://purl.obolibrary.org/obo/GO_0150157	regulation of interleukin-34 production	http://purl.obolibrary.org/obo/GO_0150155	interleukin-34 production
http://purl.obolibrary.org/obo/GO_0150136	regulation of interleukin-37 production	http://purl.obolibrary.org/obo/GO_0150137	interleukin-37 production
http://purl.obolibrary.org/obo/GO_0051453	regulation of intracellular pH	http://purl.obolibrary.org/obo/OBA_0000050	cell pH
http://purl.obolibrary.org/obo/GO_1905924	regulation of invadopodium assembly	http://purl.obolibrary.org/obo/GO_1905877	invadopodium assembly
http://purl.obolibrary.org/obo/GO_1905927	regulation of invadopodium disassembly	http://purl.obolibrary.org/obo/GO_1905878	invadopodium disassembly
http://purl.obolibrary.org/obo/GO_1904038	regulation of iron export across plasma membrane	http://purl.obolibrary.org/obo/GO_1903988	iron ion export across plasma membrane
http://purl.obolibrary.org/obo/GO_0062123	regulation of linear element maturation	http://purl.obolibrary.org/obo/GO_0062121	linear element maturation
http://purl.obolibrary.org/obo/GO_1905952	regulation of lipid localization	http://purl.obolibrary.org/obo/GO_0010876	lipid localization
http://purl.obolibrary.org/obo/GO_0110112	regulation of lipid transporter activity	http://purl.obolibrary.org/obo/GO_0005319	lipid transporter activity
http://purl.obolibrary.org/obo/GO_0140075	regulation of lipoprotein transport	http://purl.obolibrary.org/obo/GO_0042953	lipoprotein transport
http://purl.obolibrary.org/obo/GO_0050828	regulation of liquid surface tension	http://purl.obolibrary.org/obo/OBA_0000088	liquid surface tension
http://purl.obolibrary.org/obo/GO_0140212	regulation of long-chain fatty acid import into cell	http://purl.obolibrary.org/obo/GO_0044539	long-chain fatty acid import into cell
http://purl.obolibrary.org/obo/GO_0048169	regulation of long-term neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000089	long-term neuronal synaptic plasticity
http://purl.obolibrary.org/obo/GO_0014916	regulation of lung blood pressure	http://purl.obolibrary.org/obo/OBA_0000090	lung blood pressure
http://purl.obolibrary.org/obo/GO_0035751	regulation of lysosomal lumen pH	http://purl.obolibrary.org/obo/OBA_0000091	lysosomal lumen pH
http://purl.obolibrary.org/obo/GO_0097213	regulation of lysosomal membrane permeability	http://purl.obolibrary.org/obo/OBA_0000092	lysosomal membrane permeability
http://purl.obolibrary.org/obo/GO_0140408	regulation of mRNA alternative polyadenylation	http://purl.obolibrary.org/obo/GO_0110104	mRNA alternative polyadenylation
http://purl.obolibrary.org/obo/GO_0043488	regulation of mRNA stability	http://purl.obolibrary.org/obo/OBA_0000093	mRNA stability
http://purl.obolibrary.org/obo/GO_0097035	regulation of membrane lipid distribution	http://purl.obolibrary.org/obo/OBA_0000098	membrane lipid distribution
http://purl.obolibrary.org/obo/GO_0042391	regulation of membrane potential	http://purl.obolibrary.org/obo/OBA_0000099	membrane potential
http://purl.obolibrary.org/obo/GO_0035566	regulation of metanephros size	http://purl.obolibrary.org/obo/OBA_0000101	metanephric kidney size
http://purl.obolibrary.org/obo/GO_0150101	regulation of microtubule anchoring at centrosome	http://purl.obolibrary.org/obo/GO_0034454	microtubule anchoring at centrosome
http://purl.obolibrary.org/obo/GO_0032532	regulation of microvillus length	http://purl.obolibrary.org/obo/OBA_0000102	microvillus length
http://purl.obolibrary.org/obo/GO_0044528	regulation of mitochondrial mRNA stability	http://purl.obolibrary.org/obo/OBA_0000103	mitochondrial mRNA stability
http://purl.obolibrary.org/obo/GO_0046902	regulation of mitochondrial membrane permeability	http://purl.obolibrary.org/obo/OBA_0000104	mitochondrial membrane permeability
http://purl.obolibrary.org/obo/GO_0051881	regulation of mitochondrial membrane potential	http://purl.obolibrary.org/obo/OBA_0000105	mitochondrial membrane potential
http://purl.obolibrary.org/obo/GO_0044529	regulation of mitochondrial rRNA stability	http://purl.obolibrary.org/obo/OBA_0000106	mitochondrial rRNA stability
http://purl.obolibrary.org/obo/GO_0106114	regulation of mitotic cohesin dsDNA (leading strand) loading	http://purl.obolibrary.org/obo/GO_0062021	mitotic cohesin dsDNA (leading strand) loading
http://purl.obolibrary.org/obo/GO_0106111	regulation of mitotic cohesin ssDNA (lagging strand) loading	http://purl.obolibrary.org/obo/GO_0062022	mitotic cohesin ssDNA (lagging strand) loading
http://purl.obolibrary.org/obo/GO_0140279	regulation of mitotic division septum assembly	http://purl.obolibrary.org/obo/GO_0140278	mitotic division septum assembly
http://purl.obolibrary.org/obo/GO_0110162	regulation of mitotic spindle elongation (spindle phase three)	http://purl.obolibrary.org/obo/GO_0061805	mitotic spindle elongation (spindle phase three)
http://purl.obolibrary.org/obo/GO_0110159	regulation of mitotic spindle formation (spindle phase one)	http://purl.obolibrary.org/obo/GO_0061804	mitotic spindle formation (spindle phase one)
http://purl.obolibrary.org/obo/GO_0010796	regulation of multivesicular body size	http://purl.obolibrary.org/obo/OBA_0000107	multivesicular body size
http://purl.obolibrary.org/obo/GO_0032972	regulation of muscle filament sliding speed	http://purl.obolibrary.org/obo/OBA_0000110	muscle filament sliding speed
http://purl.obolibrary.org/obo/GO_0014882	regulation of myofibril number	http://purl.obolibrary.org/obo/OBA_0000112	myofibril number
http://purl.obolibrary.org/obo/GO_0014881	regulation of myofibril size	http://purl.obolibrary.org/obo/OBA_0000113	myofibril size
http://purl.obolibrary.org/obo/GO_0110123	regulation of myotube cell migration	http://purl.obolibrary.org/obo/GO_0110122	myotube cell migration
http://purl.obolibrary.org/obo/GO_0150077	regulation of neuroinflammatory response	http://purl.obolibrary.org/obo/GO_0150076	neuroinflammatory response
http://purl.obolibrary.org/obo/GO_0048168	regulation of neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000114	neuronal synaptic plasticity
http://purl.obolibrary.org/obo/GO_0001505	regulation of neurotransmitter levels	http://purl.obolibrary.org/obo/OBA_0000116	neurotransmitter levels
http://purl.obolibrary.org/obo/GO_0060303	regulation of nucleosome density	http://purl.obolibrary.org/obo/OBA_0000119	nucleosome density
http://purl.obolibrary.org/obo/GO_0097298	regulation of nucleus size	http://purl.obolibrary.org/obo/OBA_0000117	nuclear size
http://purl.obolibrary.org/obo/GO_0006885	regulation of pH	http://purl.obolibrary.org/obo/OBA_0000121	pH
http://purl.obolibrary.org/obo/GO_0044375	regulation of peroxisome size	http://purl.obolibrary.org/obo/OBA_0000122	peroxisome size
http://purl.obolibrary.org/obo/GO_0150172	regulation of phosphatidylcholine metabolic process	http://purl.obolibrary.org/obo/GO_0046470	phosphatidylcholine metabolic process
http://purl.obolibrary.org/obo/GO_0150175	regulation of phosphatidylethanolamine metabolic process	http://purl.obolibrary.org/obo/GO_0046337	phosphatidylethanolamine metabolic process
http://purl.obolibrary.org/obo/GO_0150178	regulation of phosphatidylserine metabolic process	http://purl.obolibrary.org/obo/GO_0006658	phosphatidylserine metabolic process
http://purl.obolibrary.org/obo/GO_0110079	regulation of placenta blood vessel development	http://purl.obolibrary.org/obo/GO_0060674	placenta blood vessel development
http://purl.obolibrary.org/obo/GO_0097036	regulation of plasma membrane sterol distribution	http://purl.obolibrary.org/obo/OBA_0000123	plasma membrane sterol distribution
http://purl.obolibrary.org/obo/GO_0106246	regulation of poly(A)-specific ribonuclease activity	http://purl.obolibrary.org/obo/GO_0004535	poly(A)-specific ribonuclease activity
http://purl.obolibrary.org/obo/GO_0044656	regulation of post-lysosomal vacuole size	http://purl.obolibrary.org/obo/OBA_0000124	post-lysosomal vacuole size
http://purl.obolibrary.org/obo/GO_0150052	regulation of postsynapse assembly	http://purl.obolibrary.org/obo/GO_0099068	postsynapse assembly
http://purl.obolibrary.org/obo/GO_0150044	regulation of postsynaptic dense core vesicle exocytosis	http://purl.obolibrary.org/obo/GO_0150038	postsynaptic dense core vesicle exocytosis
http://purl.obolibrary.org/obo/GO_0150054	regulation of postsynaptic neurotransmitter receptor diffusion trapping	http://purl.obolibrary.org/obo/GO_0098970	postsynaptic neurotransmitter receptor diffusion trapping
http://purl.obolibrary.org/obo/GO_0099161	regulation of presynaptic dense core granule exocytosis	http://purl.obolibrary.org/obo/GO_0099525	presynaptic dense core vesicle exocytosis
http://purl.obolibrary.org/obo/GO_1905756	regulation of primary cell septum biogenesis	http://purl.obolibrary.org/obo/GO_0031671	primary cell septum biogenesis
http://purl.obolibrary.org/obo/GO_0035565	regulation of pronephros size	http://purl.obolibrary.org/obo/OBA_0000127	pronephric kidney size
http://purl.obolibrary.org/obo/GO_1904702	regulation of protein localization to adherens junction	http://purl.obolibrary.org/obo/GO_0071896	protein localization to adherens junction
http://purl.obolibrary.org/obo/GO_0110082	regulation of protein localization to cell division site involved in mitotic actomyosin contractile ring assembly	http://purl.obolibrary.org/obo/GO_1903476	protein localization to cell division site involved in mitotic actomyosin contractile ring assembly
http://purl.obolibrary.org/obo/GO_0150106	regulation of protein localization to cell-cell junction	http://purl.obolibrary.org/obo/GO_0150105	protein localization to cell-cell junction
http://purl.obolibrary.org/obo/GO_0150031	regulation of protein localization to lysosome	http://purl.obolibrary.org/obo/GO_0061462	protein localization to lysosome
http://purl.obolibrary.org/obo/GO_0140433	regulation of protein localization to meiotic spindle pole body	http://purl.obolibrary.org/obo/GO_1902441	protein localization to meiotic spindle pole body
http://purl.obolibrary.org/obo/GO_0031647	regulation of protein stability	http://purl.obolibrary.org/obo/OBA_0000128	protein stability
http://purl.obolibrary.org/obo/GO_0150073	regulation of protein-glutamine gamma-glutamyltransferase activity	http://purl.obolibrary.org/obo/GO_0003810	protein-glutamine gamma-glutamyltransferase activity
http://purl.obolibrary.org/obo/GO_0044357	regulation of rRNA stability	http://purl.obolibrary.org/obo/OBA_0000129	rRNA stability
http://purl.obolibrary.org/obo/GO_1905945	regulation of response to calcium ion	http://purl.obolibrary.org/obo/GO_0051592	response to calcium ion
http://purl.obolibrary.org/obo/GO_0060075	regulation of resting membrane potential	http://purl.obolibrary.org/obo/OBA_0000134	resting membrane potential
http://purl.obolibrary.org/obo/GO_0140500	regulation of reticulophagy	http://purl.obolibrary.org/obo/GO_0061709	reticulophagy
http://purl.obolibrary.org/obo/GO_1903395	regulation of secondary cell septum biogenesis	http://purl.obolibrary.org/obo/GO_1990344	secondary cell septum biogenesis
http://purl.obolibrary.org/obo/GO_0048172	regulation of short-term neuronal synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000136	short-term neuronal synaptic plasticity
http://purl.obolibrary.org/obo/GO_0106159	regulation of small RNA loading onto RISC	http://purl.obolibrary.org/obo/GO_0070922	small RNA loading onto RISC
http://purl.obolibrary.org/obo/GO_0090225	regulation of spindle density	http://purl.obolibrary.org/obo/OBA_0000138	spindle density
http://purl.obolibrary.org/obo/GO_0075223	regulation of sporangium germination	http://purl.obolibrary.org/obo/GO_0075222	sporangium germination
http://purl.obolibrary.org/obo/GO_0106118	regulation of sterol biosynthetic process	http://purl.obolibrary.org/obo/GO_0016126	sterol biosynthetic process
http://purl.obolibrary.org/obo/GO_0050803	regulation of synapse structure or activity	http://purl.obolibrary.org/obo/OBA_0000139	synapse structure and activity
http://purl.obolibrary.org/obo/GO_0031916	regulation of synaptic metaplasticity	http://purl.obolibrary.org/obo/OBA_0000140	synaptic metaplasticity
http://purl.obolibrary.org/obo/GO_0048167	regulation of synaptic plasticity	http://purl.obolibrary.org/obo/OBA_0000141	synaptic plasticity
http://purl.obolibrary.org/obo/GO_0150045	regulation of synaptic signaling by nitric oxide	http://purl.obolibrary.org/obo/GO_0099163	synaptic signaling by nitric oxide
http://purl.obolibrary.org/obo/GO_0003073	regulation of systemic arterial blood pressure	http://purl.obolibrary.org/obo/OBA_0000143	systemic arterial blood pressure
http://purl.obolibrary.org/obo/GO_0090067	regulation of thalamus size	http://purl.obolibrary.org/obo/OBA_0000160	thalamus size
http://purl.obolibrary.org/obo/GO_0002026	regulation of the force of heart contraction	http://purl.obolibrary.org/obo/OBA_0000161	force of heart contraction
http://purl.obolibrary.org/obo/GO_0014729	regulation of the velocity of shortening of skeletal muscle modulating contraction	http://purl.obolibrary.org/obo/OBA_0000164	velocity of shortening of skeletal muscle modulating contraction
http://purl.obolibrary.org/obo/GO_0150035	regulation of trans-synaptic signaling by BDNF, modulating synaptic transmission	http://purl.obolibrary.org/obo/GO_0099183	trans-synaptic signaling by BDNF, modulating synaptic transmission
http://purl.obolibrary.org/obo/GO_0150036	regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission	http://purl.obolibrary.org/obo/GO_0099553	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission
http://purl.obolibrary.org/obo/GO_0150111	regulation of transepithelial transport	http://purl.obolibrary.org/obo/GO_0070633	transepithelial transport
http://purl.obolibrary.org/obo/GO_0071634	regulation of transforming growth factor beta production	http://purl.obolibrary.org/obo/GO_0071604	transforming growth factor beta production
http://purl.obolibrary.org/obo/GO_0006450	regulation of translational fidelity	http://purl.obolibrary.org/obo/OBA_0000169	translational accuracy
http://purl.obolibrary.org/obo/GO_0150200	regulation of transport across blood-brain barrier	http://purl.obolibrary.org/obo/GO_0150104	transport across blood-brain barrier
http://purl.obolibrary.org/obo/GO_0035296	regulation of tube diameter	http://purl.obolibrary.org/obo/OBA_0000171	tube diameter
