defined_class	defined_class_label	process1	process1_label	process2	process2_label
http://purl.obolibrary.org/obo/GO_0002302	CD8-positive, alpha-beta T cell differentiation involved in immune response	http://purl.obolibrary.org/obo/GO_0043374	CD8-positive, alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0006307	DNA dealkylation involved in DNA repair	http://purl.obolibrary.org/obo/GO_0035510	DNA dealkylation	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/GO_0010792	DNA double-strand break processing involved in repair via single-strand annealing	http://purl.obolibrary.org/obo/GO_0000729	DNA double-strand break processing	http://purl.obolibrary.org/obo/GO_0045002	double-strand break repair via single-strand annealing
http://purl.obolibrary.org/obo/GO_0010791	DNA double-strand break processing involved in repair via synthesis-dependent strand annealing	http://purl.obolibrary.org/obo/GO_0000729	DNA double-strand break processing	http://purl.obolibrary.org/obo/GO_0045003	double-strand break repair via synthesis-dependent strand annealing
http://purl.obolibrary.org/obo/GO_0051102	DNA ligation involved in DNA recombination	http://purl.obolibrary.org/obo/GO_0006266	DNA ligation	http://purl.obolibrary.org/obo/GO_0006310	DNA recombination
http://purl.obolibrary.org/obo/GO_0051103	DNA ligation involved in DNA repair	http://purl.obolibrary.org/obo/GO_0006266	DNA ligation	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/GO_0043045	DNA methylation involved in embryo development	http://purl.obolibrary.org/obo/GO_0006306	DNA methylation	http://purl.obolibrary.org/obo/GO_0009790	embryo development
http://purl.obolibrary.org/obo/GO_0043046	DNA methylation involved in gamete generation	http://purl.obolibrary.org/obo/GO_0006306	DNA methylation	http://purl.obolibrary.org/obo/GO_0007276	gamete generation
http://purl.obolibrary.org/obo/GO_0006271	DNA strand elongation involved in DNA replication	http://purl.obolibrary.org/obo/GO_0022616	DNA strand elongation	http://purl.obolibrary.org/obo/GO_0006260	DNA replication
http://purl.obolibrary.org/obo/GO_1902319	DNA strand elongation involved in nuclear cell cycle DNA replication	http://purl.obolibrary.org/obo/GO_0022616	DNA strand elongation	http://purl.obolibrary.org/obo/GO_0033260	nuclear DNA replication
http://purl.obolibrary.org/obo/GO_0061306	DNA strand renaturation involved in double-strand break repair	http://purl.obolibrary.org/obo/GO_0000733	DNA strand renaturation	http://purl.obolibrary.org/obo/GO_0006302	double-strand break repair
http://purl.obolibrary.org/obo/GO_0000731	DNA synthesis involved in DNA repair	http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process	http://purl.obolibrary.org/obo/GO_0006281	DNA repair
http://purl.obolibrary.org/obo/GO_0090592	DNA synthesis involved in DNA replication	http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process	http://purl.obolibrary.org/obo/GO_0006260	DNA replication
http://purl.obolibrary.org/obo/GO_0043150	DNA synthesis involved in double-strand break repair via homologous recombination	http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process	http://purl.obolibrary.org/obo/GO_0000724	double-strand break repair via homologous recombination
http://purl.obolibrary.org/obo/GO_0043151	DNA synthesis involved in double-strand break repair via single-strand annealing	http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process	http://purl.obolibrary.org/obo/GO_0045002	double-strand break repair via single-strand annealing
http://purl.obolibrary.org/obo/GO_0110166	DNA synthesis involved in mitochondrial DNA replication	http://purl.obolibrary.org/obo/GO_0071897	DNA biosynthetic process	http://purl.obolibrary.org/obo/GO_0006264	mitochondrial DNA replication
http://purl.obolibrary.org/obo/GO_0051104	DNA-dependent DNA replication DNA ligation	http://purl.obolibrary.org/obo/GO_0006266	DNA ligation	http://purl.obolibrary.org/obo/GO_0006261	DNA-dependent DNA replication
http://purl.obolibrary.org/obo/GO_0038096	Fc-gamma receptor signaling pathway involved in phagocytosis	http://purl.obolibrary.org/obo/GO_0038094	Fc-gamma receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0006909	phagocytosis
http://purl.obolibrary.org/obo/GO_1903695	MAPK cascade involved in ascospore formation	http://purl.obolibrary.org/obo/GO_0000165	MAPK cascade	http://purl.obolibrary.org/obo/GO_0030437	ascospore formation
http://purl.obolibrary.org/obo/GO_1903616	MAPK cascade involved in axon regeneration	http://purl.obolibrary.org/obo/GO_0000165	MAPK cascade	http://purl.obolibrary.org/obo/GO_0031103	axon regeneration
http://purl.obolibrary.org/obo/GO_0035420	MAPK cascade involved in innate immune response	http://purl.obolibrary.org/obo/GO_0000165	MAPK cascade	http://purl.obolibrary.org/obo/GO_0045087	innate immune response
http://purl.obolibrary.org/obo/GO_0071891	N-terminal peptidyl-proline dimethylation involved in translation	http://purl.obolibrary.org/obo/GO_0018016	N-terminal peptidyl-proline dimethylation	http://purl.obolibrary.org/obo/GO_0006412	translation
http://purl.obolibrary.org/obo/GO_0002288	NK T cell activation involved in immune response	http://purl.obolibrary.org/obo/GO_0051132	NK T cell activation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002289	NK T cell proliferation involved in immune response	http://purl.obolibrary.org/obo/GO_0001866	NK T cell proliferation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0061314	Notch signaling involved in heart development	http://purl.obolibrary.org/obo/GO_0007219	Notch signaling pathway	http://purl.obolibrary.org/obo/GO_0007507	heart development
http://purl.obolibrary.org/obo/GO_0060853	Notch signaling pathway involved in arterial endothelial cell fate commitment	http://purl.obolibrary.org/obo/GO_0007219	Notch signaling pathway	http://purl.obolibrary.org/obo/GO_0060844	arterial endothelial cell fate commitment
http://purl.obolibrary.org/obo/GO_0060227	Notch signaling pathway involved in camera-type eye photoreceptor fate commitment	http://purl.obolibrary.org/obo/GO_0007219	Notch signaling pathway	http://purl.obolibrary.org/obo/GO_0060220	camera-type eye photoreceptor cell fate commitment
http://purl.obolibrary.org/obo/GO_0021880	Notch signaling pathway involved in forebrain neuron fate commitment	http://purl.obolibrary.org/obo/GO_0007219	Notch signaling pathway	http://purl.obolibrary.org/obo/GO_0021877	forebrain neuron fate commitment
http://purl.obolibrary.org/obo/GO_0003137	Notch signaling pathway involved in heart induction	http://purl.obolibrary.org/obo/GO_0007219	Notch signaling pathway	http://purl.obolibrary.org/obo/GO_0003129	heart induction
http://purl.obolibrary.org/obo/GO_1902359	Notch signaling pathway involved in somitogenesis	http://purl.obolibrary.org/obo/GO_0007219	Notch signaling pathway	http://purl.obolibrary.org/obo/GO_0001756	somitogenesis
http://purl.obolibrary.org/obo/GO_1903453	RNA interference involved in olfactory learning	http://purl.obolibrary.org/obo/GO_0016246	RNA interference	http://purl.obolibrary.org/obo/GO_0008355	olfactory learning
http://purl.obolibrary.org/obo/GO_2001266	Roundabout signaling pathway involved in axon guidance	http://purl.obolibrary.org/obo/GO_0035385	Roundabout signaling pathway	http://purl.obolibrary.org/obo/GO_0007411	axon guidance
http://purl.obolibrary.org/obo/GO_2001283	Roundabout signaling pathway involved in muscle cell chemotaxis toward tendon cell	http://purl.obolibrary.org/obo/GO_0035385	Roundabout signaling pathway	http://purl.obolibrary.org/obo/GO_0036061	muscle cell chemotaxis toward tendon cell
http://purl.obolibrary.org/obo/GO_0014011	Schwann cell proliferation involved in axon regeneration	http://purl.obolibrary.org/obo/GO_0014010	Schwann cell proliferation	http://purl.obolibrary.org/obo/GO_0031103	axon regeneration
http://purl.obolibrary.org/obo/GO_0002286	T cell activation involved in immune response	http://purl.obolibrary.org/obo/GO_0042110	T cell activation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002292	T cell differentiation involved in immune response	http://purl.obolibrary.org/obo/GO_0030217	T cell differentiation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002309	T cell proliferation involved in immune response	http://purl.obolibrary.org/obo/GO_0042098	T cell proliferation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_1902378	VEGF-activated neuropilin signaling pathway involved in axon guidance	http://purl.obolibrary.org/obo/GO_0038190	VEGF-activated neuropilin signaling pathway	http://purl.obolibrary.org/obo/GO_0007411	axon guidance
http://purl.obolibrary.org/obo/GO_0044333	Wnt signaling pathway involved in digestive tract morphogenesis	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0048546	digestive tract morphogenesis
http://purl.obolibrary.org/obo/GO_0044332	Wnt signaling pathway involved in dorsal/ventral axis specification	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0009950	dorsal/ventral axis specification
http://purl.obolibrary.org/obo/GO_0003306	Wnt signaling pathway involved in heart development	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0007507	heart development
http://purl.obolibrary.org/obo/GO_0061289	Wnt signaling pathway involved in kidney development	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0001822	kidney development
http://purl.obolibrary.org/obo/GO_0060593	Wnt signaling pathway involved in mammary gland specification	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0060594	mammary gland specification
http://purl.obolibrary.org/obo/GO_0090011	Wnt signaling pathway involved in primitive streak formation	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0090009	primitive streak formation
http://purl.obolibrary.org/obo/GO_0090244	Wnt signaling pathway involved in somitogenesis	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0001756	somitogenesis
http://purl.obolibrary.org/obo/GO_0021881	Wnt-activated signaling pathway involved in forebrain neuron fate commitment	http://purl.obolibrary.org/obo/GO_0016055	Wnt signaling pathway	http://purl.obolibrary.org/obo/GO_0021877	forebrain neuron fate commitment
http://purl.obolibrary.org/obo/GO_1901527	abscisic acid-activated signaling pathway involved in stomatal movement	http://purl.obolibrary.org/obo/GO_0009738	abscisic acid-activated signaling pathway	http://purl.obolibrary.org/obo/GO_0010118	stomatal movement
http://purl.obolibrary.org/obo/GO_1901089	acetate ester metabolic process involved in fermentation	http://purl.obolibrary.org/obo/GO_1900619	acetate ester metabolic process	http://purl.obolibrary.org/obo/GO_0006113	fermentation
http://purl.obolibrary.org/obo/GO_0014055	acetylcholine secretion, neurotransmission	http://purl.obolibrary.org/obo/GO_0061526	acetylcholine secretion	http://purl.obolibrary.org/obo/GO_0007271	synaptic transmission, cholinergic
http://purl.obolibrary.org/obo/GO_0060466	activation of meiosis involved in egg activation	http://purl.obolibrary.org/obo/GO_0090427	activation of meiosis	http://purl.obolibrary.org/obo/GO_0007343	egg activation
http://purl.obolibrary.org/obo/GO_0061372	activin receptor signaling pathway involved in heart jogging	http://purl.obolibrary.org/obo/GO_0032924	activin receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0003146	heart jogging
http://purl.obolibrary.org/obo/GO_0086030	adenylate cyclase-activating adrenergic receptor signaling pathway involved in cardiac muscle relaxation	http://purl.obolibrary.org/obo/GO_0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0055119	relaxation of cardiac muscle
http://purl.obolibrary.org/obo/GO_0086023	adenylate cyclase-activating adrenergic receptor signaling pathway involved in heart process	http://purl.obolibrary.org/obo/GO_0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0003015	heart process
http://purl.obolibrary.org/obo/GO_0086024	adenylate cyclase-activating adrenergic receptor signaling pathway involved in positive regulation of heart rate	http://purl.obolibrary.org/obo/GO_0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0010460	positive regulation of heart rate
http://purl.obolibrary.org/obo/GO_0140200	adenylate cyclase-activating adrenergic receptor signaling pathway involved in regulation of heart rate	http://purl.obolibrary.org/obo/GO_0071880	adenylate cyclase-activating adrenergic receptor signaling pathway	http://purl.obolibrary.org/obo/GO_0002027	regulation of heart rate
http://purl.obolibrary.org/obo/GO_0001323	age-dependent general metabolic decline involved in chronological cell aging	http://purl.obolibrary.org/obo/GO_0007571	age-dependent general metabolic decline	http://purl.obolibrary.org/obo/GO_0001300	chronological cell aging
http://purl.obolibrary.org/obo/GO_0001321	age-dependent general metabolic decline involved in replicative cell aging	http://purl.obolibrary.org/obo/GO_0007571	age-dependent general metabolic decline	http://purl.obolibrary.org/obo/GO_0001302	replicative cell aging
http://purl.obolibrary.org/obo/GO_0001324	age-dependent response to oxidative stress involved in chronological cell aging	http://purl.obolibrary.org/obo/GO_0001306	age-dependent response to oxidative stress	http://purl.obolibrary.org/obo/GO_0001300	chronological cell aging
http://purl.obolibrary.org/obo/GO_0001320	age-dependent response to reactive oxygen species involved in chronological cell aging	http://purl.obolibrary.org/obo/GO_0001315	age-dependent response to reactive oxygen species	http://purl.obolibrary.org/obo/GO_0001300	chronological cell aging
http://purl.obolibrary.org/obo/GO_0002287	alpha-beta T cell activation involved in immune response	http://purl.obolibrary.org/obo/GO_0046631	alpha-beta T cell activation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002293	alpha-beta T cell differentiation involved in immune response	http://purl.obolibrary.org/obo/GO_0046632	alpha-beta T cell differentiation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0002310	alpha-beta T cell proliferation involved in immune response	http://purl.obolibrary.org/obo/GO_0046633	alpha-beta T cell proliferation	http://purl.obolibrary.org/obo/GO_0006955	immune response
http://purl.obolibrary.org/obo/GO_0072316	alpha-glucan catabolic process involved in ascospore release from ascus	http://purl.obolibrary.org/obo/GO_0030980	alpha-glucan catabolic process	http://purl.obolibrary.org/obo/GO_0071998	ascospore release from ascus
http://purl.obolibrary.org/obo/GO_0035475	angioblast cell migration involved in selective angioblast sprouting	http://purl.obolibrary.org/obo/GO_0035476	angioblast cell migration	http://purl.obolibrary.org/obo/GO_0035474	selective angioblast sprouting
http://purl.obolibrary.org/obo/GO_0060978	angiogenesis involved in coronary vascular morphogenesis	http://purl.obolibrary.org/obo/GO_0001525	angiogenesis	http://purl.obolibrary.org/obo/GO_0060976	coronary vasculature development
http://purl.obolibrary.org/obo/GO_0060055	angiogenesis involved in wound healing	http://purl.obolibrary.org/obo/GO_0001525	angiogenesis	http://purl.obolibrary.org/obo/GO_0042060	wound healing
http://purl.obolibrary.org/obo/GO_0072098	anterior/posterior pattern specification involved in kidney development	http://purl.obolibrary.org/obo/GO_0009952	anterior/posterior pattern specification	http://purl.obolibrary.org/obo/GO_0001822	kidney development
http://purl.obolibrary.org/obo/GO_0034672	anterior/posterior pattern specification involved in pronephros development	http://purl.obolibrary.org/obo/GO_0009952	anterior/posterior pattern specification	http://purl.obolibrary.org/obo/GO_0048793	pronephros development
http://purl.obolibrary.org/obo/GO_0072099	anterior/posterior pattern specification involved in ureteric bud development	http://purl.obolibrary.org/obo/GO_0009952	anterior/posterior pattern specification	http://purl.obolibrary.org/obo/GO_0001657	ureteric bud development
http://purl.obolibrary.org/obo/GO_0043483	anthocyanin biosynthetic process involved in anthocyanin accumulation in response to UV light	http://purl.obolibrary.org/obo/GO_0009718	anthocyanin-containing compound biosynthetic process	http://purl.obolibrary.org/obo/GO_0043481	anthocyanin accumulation in tissues in response to UV light
http://purl.obolibrary.org/obo/GO_0003384	apical constriction involved in gastrulation	http://purl.obolibrary.org/obo/GO_0003383	apical constriction	http://purl.obolibrary.org/obo/GO_0007369	gastrulation
http://purl.obolibrary.org/obo/GO_0110072	apical constriction involved in ventral furrow formation	http://purl.obolibrary.org/obo/GO_0003383	apical constriction	http://purl.obolibrary.org/obo/GO_0007370	ventral furrow formation
http://purl.obolibrary.org/obo/GO_0003296	apoptotic process involved in atrial ventricular junction remodeling	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0003294	atrial ventricular junction remodeling
http://purl.obolibrary.org/obo/GO_1902262	apoptotic process involved in blood vessel morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0048514	blood vessel morphogenesis
http://purl.obolibrary.org/obo/GO_1902742	apoptotic process involved in development	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0048856	anatomical structure development
http://purl.obolibrary.org/obo/GO_1902263	apoptotic process involved in embryonic digit morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0042733	embryonic digit morphogenesis
http://purl.obolibrary.org/obo/GO_0003277	apoptotic process involved in endocardial cushion morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0003203	endocardial cushion morphogenesis
http://purl.obolibrary.org/obo/GO_0003278	apoptotic process involved in heart morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0003007	heart morphogenesis
http://purl.obolibrary.org/obo/GO_0003276	apoptotic process involved in heart valve morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0003179	heart valve morphogenesis
http://purl.obolibrary.org/obo/GO_0061364	apoptotic process involved in luteolysis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0001554	luteolysis
http://purl.obolibrary.org/obo/GO_0060057	apoptotic process involved in mammary gland involution	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0060056	mammary gland involution
http://purl.obolibrary.org/obo/GO_1900204	apoptotic process involved in metanephric collecting duct development	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0072205	metanephric collecting duct development
http://purl.obolibrary.org/obo/GO_1900205	apoptotic process involved in metanephric nephron tubule development	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0072234	metanephric nephron tubule development
http://purl.obolibrary.org/obo/GO_0060561	apoptotic process involved in morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0009653	anatomical structure morphogenesis
http://purl.obolibrary.org/obo/GO_0003275	apoptotic process involved in outflow tract morphogenesis	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0003151	outflow tract morphogenesis
http://purl.obolibrary.org/obo/GO_0060663	apoptotic process involved in salivary gland cavitation	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0060662	salivary gland cavitation
http://purl.obolibrary.org/obo/GO_0060609	apoptotic process involved in tube lumen cavitation	http://purl.obolibrary.org/obo/GO_0006915	apoptotic process	http://purl.obolibrary.org/obo/GO_0060605	tube lumen cavitation
http://purl.obolibrary.org/obo/GO_0045167	asymmetric protein localization involved in cell fate determination	http://purl.obolibrary.org/obo/GO_0008104	protein localization	http://purl.obolibrary.org/obo/GO_0001709	cell fate determination
http://purl.obolibrary.org/obo/GO_0051456	attachment of spindle microtubules to kinetochore involved in meiotic sister chromatid segregation	http://purl.obolibrary.org/obo/GO_0008608	attachment of spindle microtubules to kinetochore	http://purl.obolibrary.org/obo/GO_0045144	meiotic sister chromatid segregation
http://purl.obolibrary.org/obo/GO_0060774	auxin mediated signaling pathway involved in phyllotactic patterning	http://purl.obolibrary.org/obo/GO_0009734	auxin-activated signaling pathway	http://purl.obolibrary.org/obo/GO_0060771	phyllotactic patterning
http://purl.obolibrary.org/obo/GO_0090245	axis elongation involved in somitogenesis	http://purl.obolibrary.org/obo/GO_0003401	axis elongation	http://purl.obolibrary.org/obo/GO_0001756	somitogenesis
http://purl.obolibrary.org/obo/GO_0048846	axon extension involved in axon guidance	http://purl.obolibrary.org/obo/GO_0048675	axon extension	http://purl.obolibrary.org/obo/GO_0007411	axon guidance
http://purl.obolibrary.org/obo/GO_0048677	axon extension involved in regeneration	http://purl.obolibrary.org/obo/GO_0048675	axon extension	http://purl.obolibrary.org/obo/GO_0031099	regeneration
http://purl.obolibrary.org/obo/GO_1902327	bacterial-type DNA replication DNA ligation	http://purl.obolibrary.org/obo/GO_0006266	DNA ligation	http://purl.obolibrary.org/obo/GO_0044787	bacterial-type DNA replication
http://purl.obolibrary.org/obo/GO_1902328	bacterial-type DNA replication initiation	http://purl.obolibrary.org/obo/GO_0006270	DNA replication initiation	http://purl.obolibrary.org/obo/GO_0044787	bacterial-type DNA replication
http://purl.obolibrary.org/obo/GO_1902329	bacterial-type DNA replication termination	http://purl.obolibrary.org/obo/GO_0006274	DNA replication termination	http://purl.obolibrary.org/obo/GO_0044787	bacterial-type DNA replication
http://purl.obolibrary.org/obo/GO_0006288	base-excision repair, DNA ligation	http://purl.obolibrary.org/obo/GO_0006266	DNA ligation	http://purl.obolibrary.org/obo/GO_0006284	base-excision repair
http://purl.obolibrary.org/obo/GO_0060751	branch elongation involved in mammary gland duct branching	http://purl.obolibrary.org/obo/GO_0060602	branch elongation of an epithelium	http://purl.obolibrary.org/obo/GO_0060603	mammary gland duct morphogenesis
http://purl.obolibrary.org/obo/GO_0060667	branch elongation involved in salivary gland morphogenesis	http://purl.obolibrary.org/obo/GO_0060602	branch elongation of an epithelium	http://purl.obolibrary.org/obo/GO_0007435	salivary gland morphogenesis
http://purl.obolibrary.org/obo/GO_0060681	branch elongation involved in ureteric bud branching	http://purl.obolibrary.org/obo/GO_0060602	branch elongation of an epithelium	http://purl.obolibrary.org/obo/GO_0001658	branching involved in ureteric bud morphogenesis
http://purl.obolibrary.org/obo/GO_0001569	branching involved in blood vessel morphogenesis	http://purl.obolibrary.org/obo/GO_0048754	branching morphogenesis of an epithelial tube	http://purl.obolibrary.org/obo/GO_0048514	blood vessel morphogenesis
http://purl.obolibrary.org/obo/GO_0060670	branching involved in labyrinthine layer morphogenesis	http://purl.obolibrary.org/obo/GO_0061138	morphogenesis of a branching epithelium	http://purl.obolibrary.org/obo/GO_0060713	labyrinthine layer morphogenesis
http://purl.obolibrary.org/obo/GO_0060854	branching involved in lymph vessel morphogenesis	http://purl.obolibrary.org/obo/GO_0048754	branching morphogenesis of an epithelial tube	http://purl.obolibrary.org/obo/GO_0036303	lymph vessel morphogenesis
http://purl.obolibrary.org/obo/GO_0060655	branching involved in mammary gland cord morphogenesis	http://purl.obolibrary.org/obo/GO_0061138	morphogenesis of a branching epithelium	http://purl.obolibrary.org/obo/GO_0060652	mammary gland cord morphogenesis
http://purl.obolibrary.org/obo/GO_0060444	branching involved in mammary gland duct morphogenesis	http://purl.obolibrary.org/obo/GO_0061138	morphogenesis of a branching epithelium	http://purl.obolibrary.org/obo/GO_0060603	mammary gland duct morphogenesis
http://purl.obolibrary.org/obo/GO_0060446	branching involved in open tracheal system development	http://purl.obolibrary.org/obo/GO_0048754	branching morphogenesis of an epithelial tube	http://purl.obolibrary.org/obo/GO_0007424	open tracheal system development
http://purl.obolibrary.org/obo/GO_0061114	branching involved in pancreas morphogenesis	http://purl.obolibrary.org/obo/GO_0061138	morphogenesis of a branching epithelium	http://purl.obolibrary.org/obo/GO_0061113	pancreas morphogenesis
http://purl.obolibrary.org/obo/GO_0060442	branching involved in prostate gland morphogenesis	http://purl.obolibrary.org/obo/GO_0061138	morphogenesis of a branching epithelium	http://purl.obolibrary.org/obo/GO_0060512	prostate gland morphogenesis
http://purl.obolibrary.org/obo/GO_0060445	branching involved in salivary gland morphogenesis	http://purl.obolibrary.org/obo/GO_0061138	morphogenesis of a branching epithelium	http://purl.obolibrary.org/obo/GO_0007435	salivary gland morphogenesis
