defined_class	defined_class_label	taxon	taxon_label	source
GO:0009533	chloroplast stromal thylakoid	NCBITaxon:33090	Viridiplantae	
GO:0009541	etioplast prolamellar body	NCBITaxon:33090	Viridiplantae	
GO:0009542	granum	NCBITaxon:33090	Viridiplantae	
GO:0009544	chloroplast ATP synthase complex	NCBITaxon:33090	Viridiplantae	
GO:0009545	elaioplast	NCBITaxon:33090	Viridiplantae	
GO:0009549	cellulose microfibril	NCBITaxon:33090	Viridiplantae	
GO:0009554	megasporogenesis	NCBITaxon:3398	Magnoliophyta	
GO:0009556	microsporogenesis	NCBITaxon:3398	Magnoliophyta	
GO:0009557	antipodal cell differentiation	NCBITaxon:3398	Magnoliophyta	
GO:0009558	embryo sac cellularization	NCBITaxon:3398	Magnoliophyta	
GO:0009559	embryo sac central cell differentiation	NCBITaxon:3398	Magnoliophyta	
GO:0009560	embryo sac egg cell differentiation	NCBITaxon:3398	Magnoliophyta	
GO:0009561	megagametogenesis	NCBITaxon:3398	Magnoliophyta	
GO:0009562	embryo sac nuclear migration	NCBITaxon:3398	Magnoliophyta	
GO:0009563	synergid differentiation	NCBITaxon:3398	Magnoliophyta	
GO:0009567	double fertilization forming a zygote and endosperm	NCBITaxon:3398	Magnoliophyta	
GO:0009573	chloroplast ribulose bisphosphate carboxylase complex	NCBITaxon:33090	Viridiplantae	
GO:0009575	chromoplast stroma	NCBITaxon:Union_0000006	Viridiplantae or Archaea or Bacteria	
GO:0009576	leucoplast stroma	NCBITaxon:33090	Viridiplantae	
GO:0009577	elaioplast stroma	NCBITaxon:33090	Viridiplantae	
GO:0009578	etioplast stroma	NCBITaxon:33090	Viridiplantae	
GO:0009626	plant-type hypersensitive response	NCBITaxon:3398	Magnoliophyta	
GO:0009640	photomorphogenesis	NCBITaxon:33090	Viridiplantae	
GO:0009647	skotomorphogenesis	NCBITaxon:33090	Viridiplantae	
GO:0009655	PSII associated light-harvesting complex II, core complex	NCBITaxon:33090	Viridiplantae	
GO:0009656	PSII associated light-harvesting complex II, peripheral complex	NCBITaxon:33090	Viridiplantae	
GO:0009664	plant-type cell wall organization	NCBITaxon:33090	Viridiplantae	
GO:0009677	double fertilization forming two zygotes	NCBITaxon:58022	Gnetophyta	
GO:0009704	de-etiolation	NCBITaxon:33090	Viridiplantae	
GO:0009705	plant-type vacuole membrane	NCBITaxon:33090	Viridiplantae	
GO:0009760	C4 photosynthesis	NCBITaxon:33090	Viridiplantae	
GO:0009761	CAM photosynthesis	NCBITaxon:33090	Viridiplantae	
GO:0009792	embryo development ending in birth or egg hatching	NCBITaxon:33208	Metazoa	
GO:0009832	plant-type cell wall biogenesis	NCBITaxon:33090	Viridiplantae	
GO:0009840	chloroplastic endopeptidase Clp complex	NCBITaxon:33090	Viridiplantae	
GO:0009842	cyanelle	NCBITaxon:38254	Glaucocystophyceae	
GO:0009853	photorespiration	NCBITaxon:Union_0000007	Viridiplantae or Bacteria or Euglenozoa	
GO:0009856	pollination	NCBITaxon:33090	Viridiplantae	
GO:0009864	induced systemic resistance, jasmonic acid mediated signaling pathway	NCBITaxon:33090	Viridiplantae	
GO:0009866	induced systemic resistance, ethylene mediated signaling pathway	NCBITaxon:33090	Viridiplantae	
GO:0009888	tissue development	NCBITaxon:2759	Eukaryota	
GO:0009908	flower development	NCBITaxon:3398	Magnoliophyta	
GO:0009920	cell plate formation involved in plant-type cell wall biogenesis	NCBITaxon:33090	Viridiplantae	
GO:0009930	longitudinal side of cell surface	NCBITaxon:2759	Eukaryota	
GO:0009986	cell surface	NCBITaxon:131567	cellular organisms	
GO:0010001	glial cell differentiation	NCBITaxon:33208	Metazoa	
GO:0010006	Toc complex	NCBITaxon:33090	Viridiplantae	
GO:0010007	magnesium chelatase complex	NCBITaxon:33090	Viridiplantae	
GO:0010014	meristem initiation	NCBITaxon:33090	Viridiplantae	
GO:0010019	chloroplast-nucleus signaling pathway	NCBITaxon:33090	Viridiplantae	
GO:0010049	acquisition of plant reproductive competence	NCBITaxon:33090	Viridiplantae	
GO:0010051	xylem and phloem pattern formation	NCBITaxon:33090	Viridiplantae	
GO:0010069	zygote asymmetric cytokinesis in embryo sac	NCBITaxon:3398	Magnoliophyta	
GO:0010087	phloem or xylem histogenesis	NCBITaxon:33090	Viridiplantae	
GO:0010090	trichome morphogenesis	NCBITaxon:33090	Viridiplantae	
GO:0010091	trichome branching	NCBITaxon:33090	Viridiplantae	
GO:0010099	regulation of photomorphogenesis	NCBITaxon:33090	Viridiplantae	
GO:0010152	pollen maturation	NCBITaxon:3398	Magnoliophyta	
GO:0010154	fruit development	NCBITaxon:58024	Spermatophyta	
GO:0010197	polar nucleus fusion	NCBITaxon:3398	Magnoliophyta	
GO:0010208	pollen wall assembly	NCBITaxon:3398	Magnoliophyta	
GO:0010214	seed coat development	NCBITaxon:33090	Viridiplantae	
GO:0010242	oxygen evolving activity	NCBITaxon:Union_0000007	Viridiplantae or Bacteria or Euglenozoa	
GO:0010278	chloroplast outer membrane translocon	NCBITaxon:33090	Viridiplantae	
GO:0010287	plastoglobule	NCBITaxon:33090	Viridiplantae	
GO:0010319	stromule	NCBITaxon:33090	Viridiplantae	
GO:0010330	cellulose synthase complex	NCBITaxon:33090	Viridiplantae	
GO:0010338	leaf formation	NCBITaxon:33090	Viridiplantae	
GO:0010358	leaf shaping	NCBITaxon:33090	Viridiplantae	
GO:0010368	chloroplast isoamylase complex	NCBITaxon:33090	Viridiplantae	
GO:0010374	stomatal complex development	NCBITaxon:33090	Viridiplantae	
GO:0010377	guard cell fate commitment	NCBITaxon:33090	Viridiplantae	
GO:0010419	rhamnogalacturonan II side chain metabolic process	NCBITaxon:33090	Viridiplantae	
GO:0010433	bract morphogenesis	NCBITaxon:33090	Viridiplantae	
GO:0010434	bract formation	NCBITaxon:33090	Viridiplantae	
GO:0010657	muscle cell apoptotic process	NCBITaxon:33208	Metazoa	
GO:0010865	stipule development	NCBITaxon:33090	Viridiplantae	
GO:0012511	monolayer-surrounded lipid storage body	NCBITaxon:33090	Viridiplantae	
GO:0014021	secondary neural tube formation	NCBITaxon:40674	Mammalia	
GO:0014023	neural rod formation	NCBITaxon:32443	Teleostei	
GO:0015627	type II protein secretion system complex	NCBITaxon:2	Bacteria	
GO:0015628	protein secretion by the type II secretion system	NCBITaxon:2	Bacteria	
GO:0016028	rhabdomere	NCBITaxon:50557	Insecta	PMID:28193819
GO:0198738	cell-cell signaling by wnt	NCBITaxon:33208	Metazoa	
GO:0016281	eukaryotic translation initiation factor 4F complex	NCBITaxon:2759	Eukaryota	
GO:0016282	eukaryotic 43S preinitiation complex	NCBITaxon:2759	Eukaryota	
GO:0016348	imaginal disc-derived leg joint morphogenesis	NCBITaxon:33392	Holometabola	
GO:0016490	structural constituent of peritrophic membrane	NCBITaxon:6656	Arthropoda	
GO:0016543	male courtship behavior, orientation prior to leg tapping and wing vibration	NCBITaxon:6656	Arthropoda	
GO:0016544	male courtship behavior, tapping to detect pheromone	NCBITaxon:6656	Arthropoda	
GO:0016546	male courtship behavior, proboscis-mediated licking	NCBITaxon:6656	Arthropoda	
GO:0018990	ecdysis, chitin-based cuticle	NCBITaxon:6656	Arthropoda	
GO:0019096	pole plasm mitochondrial lrRNA localization	NCBITaxon:6656	Arthropoda	
GO:0019097	pole plasm mitochondrial srRNA localization	NCBITaxon:6656	Arthropoda	
GO:0019350	teichoic acid biosynthetic process	NCBITaxon:2	Bacteria	
GO:0019819	P1 peroxisome	NCBITaxon:4952	Yarrowia lipolytica	PMID:10629216|PMID:14504266
GO:0019820	P2 peroxisome	NCBITaxon:4952	Yarrowia lipolytica	PMID:10629216|PMID:14504266
GO:0019821	P3 peroxisome	NCBITaxon:4952	Yarrowia lipolytica	PMID:10629216|PMID:14504266
GO:0019822	P4 peroxisome	NCBITaxon:4952	Yarrowia lipolytica	PMID:10629216|PMID:14504266
GO:0019823	P5 peroxisome	NCBITaxon:4952	Yarrowia lipolytica	PMID:10629216|PMID:14504266
GO:0019824	P6 peroxisome	NCBITaxon:4952	Yarrowia lipolytica	PMID:10629216|PMID:14504266
GO:0020007	apical complex	NCBITaxon:5794	Apicomplexa	
GO:0020011	apicoplast	NCBITaxon:5794	Apicomplexa	PMID:12722949
GO:0020015	glycosome	NCBITaxon:2759	Eukaryota	
GO:0020020	food vacuole	NCBITaxon:5794	Apicomplexa	
GO:0020026	merozoite dense granule	NCBITaxon:5794	Apicomplexa	
GO:0020030	infected host cell surface knob	NCBITaxon:5820	Plasmodium	
GO:0020038	subpellicular network	NCBITaxon:33682	Euglenozoa	
GO:0021724	inferior raphe nucleus development	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0021725	superior raphe nucleus development	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0022416	chaeta development	NCBITaxon:50557	Insecta	
GO:0022602	ovulation cycle process	NCBITaxon:33208	Metazoa	
GO:0022619	generative cell differentiation	NCBITaxon:3398	Magnoliophyta	
GO:0022620	vegetative cell differentiation	NCBITaxon:3398	Magnoliophyta	
GO:0022625	cytosolic large ribosomal subunit	NCBITaxon:131567	cellular organisms	
GO:0022626	cytosolic ribosome	NCBITaxon:131567	cellular organisms	
GO:0022627	cytosolic small ribosomal subunit	NCBITaxon:131567	cellular organisms	
GO:0022809	mobile ion carrier activity	NCBITaxon:2	Bacteria	
GO:0030073	insulin secretion	NCBITaxon:6072	Eumetazoa	
GO:0030075	bacterial thylakoid	NCBITaxon:2	Bacteria	
GO:0030077	plasma membrane light-harvesting complex	NCBITaxon:Union_0000004	Prokaryota	
GO:0030080	B875 antenna complex	NCBITaxon:Union_0000004	Prokaryota	
GO:0030081	B800-820 antenna complex	NCBITaxon:Union_0000004	Prokaryota	
GO:0030082	B800-850 antenna complex	NCBITaxon:Union_0000004	Prokaryota	
GO:0030085	PSII associated light-harvesting complex II, peripheral complex, LHCIIb subcomplex	NCBITaxon:33090	Viridiplantae	
GO:0030093	chloroplast photosystem I	NCBITaxon:33090	Viridiplantae	
GO:0030256	type I protein secretion system complex	NCBITaxon:2	Bacteria	
GO:0030257	type III protein secretion system complex	NCBITaxon:2	Bacteria	
GO:0030313	cell envelope	NCBITaxon:2	Bacteria	
GO:0030427	site of polarized growth	NCBITaxon:131567	cellular organisms	
GO:0030437	ascospore formation	NCBITaxon:4890	Ascomycota	
GO:0030479	actin cortical patch	NCBITaxon:4751	Fungi	
GO:0030493	bacteriochlorophyll metabolic process	NCBITaxon:Union_0000004	Prokaryota	
GO:0030537	larval behavior	NCBITaxon:6072	Eumetazoa	
GO:0030584	sporocarp development	NCBITaxon:4751	Fungi	
GO:0030587	sorocarp development	NCBITaxon:33083	Dictyostelids	
GO:0030588	pseudocleavage	NCBITaxon:33208	Metazoa	
GO:0030590	first cell cycle pseudocleavage	NCBITaxon:33213	Bilateria	
GO:0030680	dimeric ribonuclease P complex	NCBITaxon:2	Bacteria	
GO:0030703	eggshell formation	NCBITaxon:33208	Metazoa	
GO:0030707	ovarian follicle cell development	NCBITaxon:6656	Arthropoda	
GO:0030717	oocyte karyosome formation	NCBITaxon:50557	Insecta	
GO:0030719	P granule organization	NCBITaxon:33208	Metazoa	
GO:0030720	oocyte localization involved in germarium-derived egg chamber formation	NCBITaxon:50557	Insecta	
GO:0030723	ovarian fusome organization	NCBITaxon:50557	Insecta	
GO:0030879	mammary gland development	NCBITaxon:40674	Mammalia	
GO:0030930	homotetrameric ADPG pyrophosphorylase complex	NCBITaxon:2	Bacteria	
GO:0030931	heterotetrameric ADPG pyrophosphorylase complex	NCBITaxon:2759	Eukaryota	
GO:0031321	ascospore-type prospore assembly	NCBITaxon:4890	Ascomycota	
GO:0031370	eukaryotic initiation factor 4G binding	NCBITaxon:2759	Eukaryota	
GO:0031504	peptidoglycan-based cell wall organization	NCBITaxon:2	Bacteria	
GO:0031505	fungal-type cell wall organization	NCBITaxon:4751	Fungi	
GO:0031522	cell envelope Sec protein transport complex	NCBITaxon:2	Bacteria	
GO:0031578	mitotic spindle orientation checkpoint	NCBITaxon:716545	saccharomyceta	
GO:0031633	xanthophore	NCBITaxon:Union_0000004	Prokaryota	
GO:0031897	Tic complex	NCBITaxon:33090	Viridiplantae	
GO:0031912	oral apparatus	NCBITaxon:5878	Ciliophora	
GO:0031986	proteinoplast	NCBITaxon:33090	Viridiplantae	
GO:0032121	meiotic attachment of telomeric heterochromatin to spindle pole body	NCBITaxon:4751	Fungi	
GO:0032258	protein localization by the Cvt pathway	NCBITaxon:147537	Saccharomycotina	
GO:0033009	nucleomorph	NCBITaxon:33090	Viridiplantae	
GO:0033104	type VI protein secretion system complex	NCBITaxon:2	Bacteria	
GO:0033105	chlorosome envelope	NCBITaxon:Union_0000004	Prokaryota	
GO:0033173	calcineurin-NFAT signaling cascade	NCBITaxon:33208	Metazoa	
GO:0033174	chloroplast proton-transporting ATP synthase complex, catalytic core CF(1)	NCBITaxon:33090	Viridiplantae	
GO:0033175	chloroplast proton-transporting ATP synthase complex, coupling factor CF(o)	NCBITaxon:33090	Viridiplantae	
GO:0033189	response to vitamin A	NCBITaxon:33208	Metazoa	
GO:0033290	eukaryotic 48S preinitiation complex	NCBITaxon:2759	Eukaryota	
GO:0033291	eukaryotic 80S initiation complex	NCBITaxon:2759	Eukaryota	
GO:0033614	chloroplast proton-transporting ATP synthase complex assembly	NCBITaxon:33090	Viridiplantae	
GO:0034117	erythrocyte aggregation	NCBITaxon:33208	Metazoa	
GO:0034306	regulation of sexual sporulation	NCBITaxon:4751	Fungi	
GO:0034400	gerontoplast	NCBITaxon:33090	Viridiplantae	
GO:0034631	microtubule anchoring at spindle pole body	NCBITaxon:4751	Fungi	
GO:0034633	retinol transport	NCBITaxon:33208	Metazoa	
GO:0035001	dorsal trunk growth, open tracheal system	NCBITaxon:50557	Insecta	
GO:0035002	liquid clearance, open tracheal system	NCBITaxon:50557	Insecta	
GO:0035018	adult chitin-based cuticle pattern formation	NCBITaxon:6656	Arthropoda	
GO:0035052	dorsal vessel aortic cell fate commitment	NCBITaxon:50557	Insecta	
GO:0035053	dorsal vessel heart proper cell fate commitment	NCBITaxon:50557	Insecta	
GO:0035099	hemocyte migration	NCBITaxon:6656	Arthropoda	
GO:0035147	branch fusion, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0035152	regulation of tube architecture, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0035153	epithelial cell type specification, open tracheal system	NCBITaxon:50557	Insecta	
GO:0035155	negative regulation of terminal cell fate specification, open tracheal system	NCBITaxon:50557	Insecta	
GO:0035157	negative regulation of fusion cell fate specification	NCBITaxon:50557	Insecta	
GO:0035158	regulation of tube diameter, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0035159	regulation of tube length, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0035172	hemocyte proliferation	NCBITaxon:6656	Arthropoda	
GO:0035207	negative regulation of hemocyte proliferation	NCBITaxon:6656	Arthropoda	
GO:0035277	spiracle morphogenesis, open tracheal system	NCBITaxon:33317	Protostomia	
GO:0035316	non-sensory hair organization	NCBITaxon:6656	Arthropoda	
GO:0035633	maintenance of permeability of blood-brain barrier	NCBITaxon:6072	Eumetazoa	
GO:0035670	plant-type ovary development	NCBITaxon:3398	Magnoliophyta	
GO:0035804	structural constituent of egg coat	NCBITaxon:33208	Metazoa	
GO:0035805	egg coat	NCBITaxon:33208	Metazoa	
GO:0036007	scintillon	NCBITaxon:2864	Dinophyceae	
GO:0036342	post-anal tail morphogenesis	NCBITaxon:7711	Chordata	
GO:0036386	bacterial nucleoid DNA packaging	NCBITaxon:2	Bacteria	
GO:0036389	bacterial pre-replicative complex	NCBITaxon:2	Bacteria	
GO:0038084	vascular endothelial growth factor signaling pathway	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0038086	VEGF-activated platelet-derived growth factor receptor signaling pathway	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0038089	positive regulation of cell migration by vascular endothelial growth factor signaling pathway	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0038190	VEGF-activated neuropilin signaling pathway	NCBITaxon:7742	Vertebrata <Metazoa>	
GO:0040002	collagen and cuticulin-based cuticle development	NCBITaxon:6231	Nematoda	
GO:0040003	chitin-based cuticle development	NCBITaxon:6656	Arthropoda	
GO:0040007	growth	NCBITaxon:131567	cellular organisms	
GO:0040021	hermaphrodite germ-line sex determination	NCBITaxon:6231	Nematoda	
GO:0040025	vulval development	NCBITaxon:6231	Nematoda	
GO:0042001	hermaphrodite somatic sex determination	NCBITaxon:33213	Bilateria	
GO:0042151	nematocyst	NCBITaxon:33208	Metazoa	
GO:0042243	asexual spore wall assembly	NCBITaxon:Union_0000020	Fungi or Bacteria	
GO:0042314	bacteriochlorophyll binding	NCBITaxon:Union_0000004	Prokaryota	
GO:0042329	structural constituent of collagen and cuticulin-based cuticle	NCBITaxon:6231	Nematoda	
GO:0042386	hemocyte differentiation	NCBITaxon:6656	Arthropoda	
GO:0042463	ocellus photoreceptor cell development	NCBITaxon:6656	Arthropoda	
GO:0042470	melanosome	NCBITaxon:33208	Metazoa	
GO:0042475	odontogenesis of dentin-containing tooth	NCBITaxon:7711	Chordata	
GO:0042556	eukaryotic elongation factor-2 kinase regulator activity	NCBITaxon:2759	Eukaryota	
GO:0042601	endospore-forming forespore	NCBITaxon:2	Bacteria	
