Class_id	Class_name	parent_class_id	parent_class_name	Stat	M	Redundant	Fixed	Notes
GO:0034638	phosphatidylcholine catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0016127	sterol catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0016130	phytosteroid catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0042369	vitamin D catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0006685	sphingomyelin catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0042426	choline catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0032343	aldosterone catabolic process	GO:0046164	alcohol catabolic process	0				
GO:0016128	phytosteroid metabolic process	GO:0006066	alcohol metabolic process	0				
GO:0016125	sterol metabolic process	GO:0006066	alcohol metabolic process	0				
GO:0032341	aldosterone metabolic process	GO:0006066	alcohol metabolic process	0				
GO:0042359	vitamin D metabolic process	GO:0006066	alcohol metabolic process	0				
GO:0034650	cortisol metabolic process	GO:0006066	alcohol metabolic process	0				
GO:0034041	sterol-transporting ATPase activity	GO:0015665	alcohol transmembrane transporter activity	0				
GO:0015352	secondary active sterol transmembrane transporter activity	GO:0015665	alcohol transmembrane transporter activity	0				
GO:0015220	choline transmembrane transporter activity	GO:0015665	alcohol transmembrane transporter activity	0				
GO:1902063	betaine aldehyde biosynthetic process	GO:0046184	aldehyde biosynthetic process	0				
GO:1902062	betaine aldehyde catabolic process	GO:0046185	aldehyde catabolic process	0				
GO:0006658	phosphatidylserine metabolic process	GO:0052646	alditol phosphate metabolic process	0				
GO:1901050	atropine catabolic process	GO:0009822	alkaloid catabolic process	0				
GO:1900873	pentadec-1-ene biosynthetic process	GO:0043450	alkene biosynthetic process	0				
GO:0035499	carnosine biosynthetic process	GO:1901607	alpha-amino acid biosynthetic process	0				
GO:0009396	folic acid-containing compound biosynthetic process	GO:1901607	alpha-amino acid biosynthetic process	0				
GO:0052703	cellular modified histidine biosynthetic process	GO:1901607	alpha-amino acid biosynthetic process	0				
GO:0052702	cellular modified histidine catabolic process	GO:1901606	alpha-amino acid catabolic process	0				
GO:0009397	folic acid-containing compound catabolic process	GO:1901606	alpha-amino acid catabolic process	0				
GO:0006660	phosphatidylserine catabolic process	GO:1901606	alpha-amino acid catabolic process	0				
GO:0006658	phosphatidylserine metabolic process	GO:1901605	alpha-amino acid metabolic process	0				
GO:0006760	folic acid-containing compound metabolic process	GO:1901605	alpha-amino acid metabolic process	0				
GO:0052701	cellular modified histidine metabolic process	GO:1901605	alpha-amino acid metabolic process	0				
GO:0035498	carnosine metabolic process	GO:1901605	alpha-amino acid metabolic process	0				
GO:0015687	ferric-hydroxamate transport	GO:0042886	amide transport	0				
GO:0005542	folic acid binding	GO:0016597	amino acid binding	0				
GO:0051871	dihydrofolic acid binding	GO:0016597	amino acid binding	0				
GO:0001786	phosphatidylserine binding	GO:0016597	amino acid binding	0				
GO:1901962	S-adenosyl-L-methionine transmembrane transport	GO:0003333	amino acid transmembrane transport	0				
GO:1902604	p-aminobenzoyl-glutamate transmembrane transport	GO:0003333	amino acid transmembrane transport	0				
GO:0015885	5-formyltetrahydrofolate transport	GO:0006865	amino acid transport	0				
GO:0015884	folic acid transport	GO:0006865	amino acid transport	0				
GO:0015314	aminotriazole:proton antiporter activity	GO:1901478	aminotriazole transmembrane transporter activity	0				
GO:1901049	atropine metabolic process	GO:0097164	ammonium ion metabolic process	0				
GO:0061370	testosterone biosynthetic process	GO:0006702	androgen biosynthetic process	1	?			
GO:0035942	dehydroepiandrosterone secretion	GO:0035935	androgen secretion	1	?			
GO:0035936	testosterone secretion	GO:0035935	androgen secretion	1	?			
GO:0035941	androstenedione secretion	GO:0035935	androgen secretion	1	?			
GO:0097272	ammonia homeostasis	GO:0055081	anion homeostasis	0				
GO:1902603	carnitine transmembrane transport	GO:0098656	anion transmembrane transport	0				
GO:0042740	exogenous antibiotic catabolic process	GO:0017001	antibiotic catabolic process	1	1			
GO:0052703	cellular modified histidine biosynthetic process	GO:0019438	aromatic compound biosynthetic process	0				
GO:0000914	phragmoplast assembly	GO:1902407	assembly of actomyosin apparatus involved in mitotic cytokinesis	?				
GO:0021784	postganglionic parasympathetic fiber development	GO:0048483	autonomic nervous system development	1	1			
GO:0080162	intracellular auxin transport	GO:0060919	auxin influx	1	1			
GO:0060748	tertiary branching involved in mammary gland duct morphogenesis	GO:0060444	branching involved in mammary gland duct morphogenesis	0				
GO:0001786	phosphatidylserine binding	GO:0097367	carbohydrate derivative binding	0				
GO:0006659	phosphatidylserine biosynthetic process	GO:1901137	carbohydrate derivative biosynthetic process	0				
GO:0006660	phosphatidylserine catabolic process	GO:1901136	carbohydrate derivative catabolic process	0				
GO:0001407	glycerophosphodiester transport	GO:1901264	carbohydrate derivative transport	0				
GO:0001406	glycerophosphodiester transmembrane transporter activity	GO:1901505	carbohydrate derivative transporter activity	0				
GO:0006853	carnitine shuttle	GO:1902603	carnitine transmembrane transport	0				
GO:1902555	endoribonuclease complex	GO:1902494	catalytic complex	1				
GO:0015619	thiamine pyrophosphate-transporting ATPase activity	GO:0019829	cation-transporting ATPase activity	0				
GO:0043707	cell adhesion involved in single-species biofilm formation in or on host organism	GO:0043709	cell adhesion involved in single-species biofilm formation	1	1			
GO:0043147	meiotic spindle stabilization	GO:0022402	cell cycle process	?				
GO:0071921	cohesin localization to chromatin	GO:0022402	cell cycle process	1	0			
GO:0043148	mitotic spindle stabilization	GO:0022402	cell cycle process	1	0			
GO:1902575	protein localization to cell division site involved in cytokinesis, actomyosin contractile ring assembly	GO:0022402	cell cycle process	1				
GO:0044768	NMS complex assembly involved in kinetochore assembly	GO:0022402	cell cycle process	1	0			
GO:0034293	sexual sporulation	GO:0022402	cell cycle process	1	0			
GO:0051415	interphase microtubule nucleation by interphase microtubule organizing center	GO:0022402	cell cycle process	1	0			
GO:0072395	signal transduction involved in cell cycle checkpoint	GO:0022402	cell cycle process	?				
GO:1902420	signal transduction involved in Dma1-dependent checkpoint	GO:0022402	cell cycle process	0				
GO:0051382	kinetochore assembly	GO:0022402	cell cycle process	1	0			
GO:0090379	secondary cell wall biogenesis involved in seed trichome differentiation	GO:0022402	cell cycle process	0				
GO:0097481	neuronal postsynaptic density	GO:0044463	cell projection part	1	0			
GO:0043690	cell-cell adhesion involved in flocculation via cell wall protein-carbohydrate interaction	GO:0043689	cell-cell adhesion involved in flocculation	1	1			
GO:0003132	mesodermal-endodermal cell signaling involved in heart induction	GO:0045168	cell-cell signaling involved in cell fate commitment	0				
GO:0003134	endodermal-mesodermal cell signaling involved in heart induction	GO:0045168	cell-cell signaling involved in cell fate commitment	0				
GO:1902061	betaine aldehyde metabolic process	GO:0006081	cellular aldehyde metabolic process	0				
GO:1900872	pentadec-1-ene metabolic process	GO:0043449	cellular alkene metabolic process	0				
GO:0097275	cellular ammonia homeostasis	GO:0030002	cellular anion homeostasis	0				
GO:0097275	cellular ammonia homeostasis	GO:0072501	cellular divalent inorganic anion homeostasis	0				
GO:0016260	selenocysteine biosynthetic process	GO:0042398	cellular modified amino acid biosynthetic process	0				
GO:1903560	3-cyano-L-alanine biosynthetic process	GO:0042398	cellular modified amino acid biosynthetic process	0				
GO:0019240	citrulline biosynthetic process	GO:0042398	cellular modified amino acid biosynthetic process	0				
GO:0006556	S-adenosylmethionine biosynthetic process	GO:0042398	cellular modified amino acid biosynthetic process	0				
GO:0071268	homocysteine biosynthetic process	GO:0042398	cellular modified amino acid biosynthetic process	0				
GO:0019510	S-adenosylhomocysteine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0019241	citrulline catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0043418	homocysteine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0017184	peptidyl-diphthamide catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0017181	peptidyl-diphthine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:1903559	3-cyano-L-alanine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0050843	S-adenosylmethionine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0016261	selenocysteine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0097053	L-kynurenine catabolic process	GO:0042219	cellular modified amino acid catabolic process	0				
GO:0016259	selenocysteine metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0042219	cellular modified amino acid catabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0033052	cyanoamino acid metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0000052	citrulline metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0050667	homocysteine metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0046500	S-adenosylmethionine metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0042398	cellular modified amino acid biosynthetic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0070189	kynurenine metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0046498	S-adenosylhomocysteine metabolic process	GO:0006575	cellular modified amino acid metabolic process	0				
GO:0052709	N-alpha,N-alpha,N-alpha-trimethyl-L-histidine biosynthetic process	GO:0052703	cellular modified histidine biosynthetic process	0				
GO:0052710	N-alpha,N-alpha,N-alpha-trimethyl-L-histidine catabolic process	GO:0052702	cellular modified histidine catabolic process	0				
GO:0097275	cellular ammonia homeostasis	GO:0030320	cellular monovalent inorganic anion homeostasis	0				
GO:0097275	cellular ammonia homeostasis	GO:0030004	cellular monovalent inorganic cation homeostasis	0				
GO:0007287	Nebenkern assembly	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0051663	oocyte nucleus localization involved in oocyte dorsal/ventral axis specification	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0007290	spermatid nucleus elongation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0007299	ovarian follicle cell-cell adhesion	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:1903537	meiotic cell cycle process involved in oocyte maturation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0019094	pole plasm mRNA localization	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0045450	bicoid mRNA localization	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0035092	sperm chromatin condensation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0055047	generative cell mitosis	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0048134	germ-line cyst formation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0090379	secondary cell wall biogenesis involved in seed trichome differentiation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0036093	germ cell proliferation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0042699	follicle-stimulating hormone signaling pathway	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0060833	Wnt signaling pathway involved in animal/vegetal axis specification	GO:0022412	cellular process involved in reproduction in multicellular organism	0				
GO:0030723	ovarian fusome organization	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0030719	P granule organization	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0030717	karyosome formation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0008302	female germline ring canal formation, actin assembly	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0035093	spermatogenesis, exchange of chromosomal proteins	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0007289	spermatid nucleus differentiation	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0035234	ectopic germ cell programmed cell death	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0030724	testicular fusome organization	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:0035471	luteinizing hormone signaling pathway involved in ovarian follicle development	GO:0022412	cellular process involved in reproduction in multicellular organism	1				
GO:1904317	cellular response to 2-O-acetyl-1-O-hexadecyl-sn-glycero-3-phosphocholine	GO:0097306	cellular response to alcohol	0				
GO:1903497	cellular response to 11-deoxycorticosterone	GO:0097306	cellular response to alcohol	0				
GO:0036315	cellular response to sterol	GO:0097306	cellular response to alcohol	0				
GO:0071386	cellular response to corticosterone stimulus	GO:0097306	cellular response to alcohol	0				
GO:1904487	cellular response to 17alpha-ethynylestradiol	GO:0097306	cellular response to alcohol	0				
GO:0071367	cellular response to brassinosteroid stimulus	GO:0097306	cellular response to alcohol	0				
GO:0071388	cellular response to cortisone stimulus	GO:0097306	cellular response to alcohol	0				
GO:0071549	cellular response to dexamethasone stimulus	GO:0097306	cellular response to alcohol	0				
GO:1904045	cellular response to aldosterone	GO:0097306	cellular response to alcohol	0				
GO:0071387	cellular response to cortisol stimulus	GO:0097306	cellular response to alcohol	0				
GO:0071392	cellular response to estradiol stimulus	GO:0097306	cellular response to alcohol	0				
GO:0071305	cellular response to vitamin D	GO:0097306	cellular response to alcohol	0				
GO:0071394	cellular response to testosterone stimulus	GO:0097306	cellular response to alcohol	0				
GO:1902350	cellular response to chloroquine	GO:0071312	cellular response to alkaloid	0				
GO:0071231	cellular response to folic acid	GO:0071230	cellular response to amino acid stimulus	0				
GO:1903718	cellular response to ammonia	GO:0071242	cellular response to ammonium ion	0				
GO:0071392	cellular response to estradiol stimulus	GO:0071391	cellular response to estrogen stimulus	1				
GO:0071412	cellular response to genistein	GO:0071391	cellular response to estrogen stimulus	1				
GO:0071411	cellular response to fluoxetine	GO:0071362	cellular response to ether	0				
GO:0071411	cellular response to fluoxetine	GO:0071407	cellular response to organic cyclic compound	0				
GO:0038170	somatostatin signaling pathway	GO:0071375	cellular response to peptide hormone stimulus	1				
GO:0071394	cellular response to testosterone stimulus	GO:0071383	cellular response to steroid hormone stimulus	1				
GO:0071391	cellular response to estrogen stimulus	GO:0071383	cellular response to steroid hormone stimulus	1				
GO:0071236	cellular response to antibiotic	GO:0097237	cellular response to toxic substance	0				
GO:0019261	1,4-dichlorobenzene catabolic process	GO:0042205	chlorinated hydrocarbon catabolic process	0				
GO:0018914	chlorobenzene metabolic process	GO:0042196	chlorinated hydrocarbon metabolic process	0				
GO:0018911	1,2,4-trichlorobenzene metabolic process	GO:0042196	chlorinated hydrocarbon metabolic process	0				
GO:0018912	1,4-dichlorobenzene metabolic process	GO:0042196	chlorinated hydrocarbon metabolic process	0				
GO:0019680	L-methylmalonyl-CoA biosynthetic process	GO:0015937	coenzyme A biosynthetic process	?				
GO:2001295	malonyl-CoA biosynthetic process	GO:0015937	coenzyme A biosynthetic process	?				
GO:2001294	malonyl-CoA catabolic process	GO:0015938	coenzyme A catabolic process	?				
GO:0046491	L-methylmalonyl-CoA metabolic process	GO:0015936	coenzyme A metabolic process	?				
GO:2001293	malonyl-CoA metabolic process	GO:0015936	coenzyme A metabolic process	?				
GO:0005879	axonemal microtubule	GO:0005881	cytoplasmic microtubule	?				
GO:0060404	axonemal microtubule depolymerization	GO:0010938	cytoplasmic microtubule depolymerization	?				
GO:0005930	axoneme	GO:0044444	cytoplasmic part	?				
GO:0044447	axoneme part	GO:0044444	cytoplasmic part	?				
GO:0035927	RNA import into mitochondrion	GO:0016482	cytoplasmic transport					
GO:0006913	nucleocytoplasmic transport	GO:0016482	cytoplasmic transport					
GO:1904919	transmembrane L-cystine transport from lysosomal lumen to cytosol	GO:0016482	cytoplasmic transport					
GO:0061502	early endosome to recycling endosome transport	GO:0016482	cytoplasmic transport					
GO:1904962	plastid to vacuole vesicle-mediated transport	GO:0016482	cytoplasmic transport					
GO:1990519	mitochondrial pyrimidine nucleotide import	GO:0016482	cytoplasmic transport					
GO:1904947	folic acid import into mitochondrion	GO:0016482	cytoplasmic transport					
GO:0043485	endosome to pigment granule transport	GO:0016482	cytoplasmic transport					
GO:1990126	retrograde transport, endosome to plasma membrane	GO:0016482	cytoplasmic transport					
GO:0034498	early endosome to Golgi transport	GO:0016482	cytoplasmic transport					
GO:1904983	transmembrane glycine transport from cytosol to mitochondrion	GO:0016482	cytoplasmic transport					
GO:1904917	transmembrane L-arginine transport from lysosomal lumen to cytosol	GO:0016482	cytoplasmic transport					
GO:1901965	endoplasmic reticulum to chloroplast transport	GO:0016482	cytoplasmic transport					
GO:0044795	trans-Golgi network to recycling endosome transport	GO:0016482	cytoplasmic transport					
GO:0034486	vacuolar transmembrane transport	GO:0016482	cytoplasmic transport	1	0		1	
GO:1903415	flavonoid transport from endoplasmic reticulum to plant-type vacuole	GO:0016482	cytoplasmic transport					
GO:0048227	plasma membrane to endosome transport	GO:0016482	cytoplasmic transport					
GO:1990616	magnesium ion export from mitochondrion	GO:0016482	cytoplasmic transport					
GO:1904916	transmembrane L-lysine transport from lysosomal lumen to cytosol	GO:0016482	cytoplasmic transport					
GO:0006893	Golgi to plasma membrane transport	GO:0016482	cytoplasmic transport	1	1			
GO:0071955	recycling endosome to Golgi transport	GO:0016482	cytoplasmic transport					
GO:0036444	calcium ion transmembrane import into mitochondrion	GO:0016482	cytoplasmic transport					
GO:0042147	retrograde transport, endosome to Golgi	GO:0016482	cytoplasmic transport					
GO:0045022	early endosome to late endosome transport	GO:0016482	cytoplasmic transport					
GO:1905011	transmembrane phosphate ion transport from cytosol to vacuole	GO:0016482	cytoplasmic transport					
GO:1904918	transmembrane L-histidine transport from lysosomal lumen to cytosol	GO:0016482	cytoplasmic transport					
GO:0072397	detection of stimulus involved in cytokinesis checkpoint	GO:0072412	detection of stimulus involved in mitotic cell cycle checkpoint	1	1			
GO:0060530	smooth muscle cell differentiation involved in prostate glandular acinus development	GO:0003006	developmental process involved in reproduction					
GO:0060742	epithelial cell differentiation involved in prostate gland development	GO:0003006	developmental process involved in reproduction					
GO:0060706	cell differentiation involved in embryonic placenta development	GO:0003006	developmental process involved in reproduction					
GO:0010588	cotyledon vascular tissue pattern formation	GO:0003006	developmental process involved in reproduction	?				Check with Tanya - shouldn't this be embryonic dev rather than reprodutive?
GO:0071998	ascospore release from ascus	GO:0003006	developmental process involved in reproduction					
GO:0045476	nurse cell apoptotic process	GO:0003006	developmental process involved in reproduction					
GO:0050892	intestinal absorption	GO:0022600	digestive system process					
GO:0097272	ammonia homeostasis	GO:0072505	divalent inorganic anion homeostasis					
GO:1902599	sulfathiazole transmembrane transport	GO:0006855	drug transmembrane transport					
GO:1902774	late endosome to lysosome transport	GO:0008333	endosome to lysosome transport					
GO:1990086	lens fiber cell apoptotic process	GO:1904019	epithelial cell apoptotic process	1	0			
GO:0097050	type B pancreatic cell apoptotic process	GO:1904019	epithelial cell apoptotic process	1	0			
GO:0097284	hepatocyte apoptotic process	GO:1904019	epithelial cell apoptotic process	1	0			
GO:0097283	keratinocyte apoptotic process	GO:1904019	epithelial cell apoptotic process	1	0			
GO:0072577	endothelial cell apoptotic process	GO:1904019	epithelial cell apoptotic process	1	0			
GO:0008544	epidermis development	GO:0060429	epithelium development	1	0			
GO:0071698	olfactory placode development	GO:0060429	epithelium development	1	0			
GO:0015891	siderophore transport	GO:0051649	establishment of localization in cell					
GO:1903445	protein transport from ciliary membrane to plasma membrane	GO:0090002	establishment of protein localization to plasma membrane					
GO:0035943	estrone secretion	GO:0035937	estrogen secretion	1	?			
GO:0035938	estradiol secretion	GO:0035937	estrogen secretion	1	?			
GO:0019695	choline metabolic process	GO:0042439	ethanolamine-containing compound metabolic process	0				
GO:0006684	sphingomyelin metabolic process	GO:0042439	ethanolamine-containing compound metabolic process	0				
GO:0046470	phosphatidylcholine metabolic process	GO:0042439	ethanolamine-containing compound metabolic process	0				
GO:0046469	platelet activating factor metabolic process	GO:0042439	ethanolamine-containing compound metabolic process	0				
GO:0031236	extrinsic component of periplasmic side of plasma membrane	GO:0044462	external encapsulating structure part					
GO:0031237	intrinsic component of periplasmic side of plasma membrane	GO:0044462	external encapsulating structure part					
GO:1990150	VEGF-A complex	GO:0044421	extracellular region part					
GO:0006853	carnitine shuttle	GO:1902001	fatty acid transmembrane transport					
GO:0019680	L-methylmalonyl-CoA biosynthetic process	GO:0046949	fatty-acyl-CoA biosynthetic process					
GO:2001295	malonyl-CoA biosynthetic process	GO:0046949	fatty-acyl-CoA biosynthetic process					
GO:2001294	malonyl-CoA catabolic process	GO:0036115	fatty-acyl-CoA catabolic process					
GO:0046491	L-methylmalonyl-CoA metabolic process	GO:0035337	fatty-acyl-CoA metabolic process					
GO:2001293	malonyl-CoA metabolic process	GO:0035337	fatty-acyl-CoA metabolic process					
GO:1902178	fibroblast growth factor receptor apoptotic signaling pathway	GO:0008543	fibroblast growth factor receptor signaling pathway					
GO:0019655	glycolytic fermentation to ethanol	GO:0006007	glucose catabolic process					
GO:0019650	glycolytic fermentation to butanediol	GO:0006007	glucose catabolic process					
GO:0018881	bromoxynil metabolic process	GO:0042197	halogenated hydrocarbon metabolic process					
GO:0030219	megakaryocyte differentiation	GO:0002244	hematopoietic progenitor cell differentiation					
GO:0019503	stachydrine biosynthetic process	GO:0018130	heterocycle biosynthetic process					
GO:0019472	4-hydroxyproline biosynthetic process	GO:0018130	heterocycle biosynthetic process					
GO:0052703	cellular modified histidine biosynthetic process	GO:0018130	heterocycle biosynthetic process					
GO:1901050	atropine catabolic process	GO:0046700	heterocycle catabolic process					
GO:0019470	4-hydroxyproline catabolic process	GO:0046700	heterocycle catabolic process					
GO:0019504	stachydrine catabolic process	GO:0046700	heterocycle catabolic process					
GO:0019471	4-hydroxyproline metabolic process	GO:0046483	heterocycle metabolic process					
GO:0018400	peptidyl-proline hydroxylation to 3-hydroxy-L-proline	GO:0046483	heterocycle metabolic process					
GO:0019502	stachydrine metabolic process	GO:0046483	heterocycle metabolic process					
GO:0000771	agglutination involved in conjugation	GO:0007157	heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules					
GO:0019655	glycolytic fermentation to ethanol	GO:1902707	hexose catabolic process to ethanol					
GO:0061691	detoxification of hydrogen peroxide	GO:0042743	hydrogen peroxide metabolic process					
GO:0052702	cellular modified histidine catabolic process	GO:0052805	imidazole-containing compound catabolic process					
GO:0052701	cellular modified histidine metabolic process	GO:0052803	imidazole-containing compound metabolic process					
GO:0045635	negative regulation of melanocyte differentiation	GO:0002085	inhibition of neuroepithelial cell differentiation					
GO:0072488	ammonium transmembrane transport	GO:0098662	inorganic cation transmembrane transport					
GO:0008979	prophage integrase activity	GO:0008907	integrase activity					
GO:1990559	mitochondrial coenzyme A transmembrane transport	GO:0015859	intracellular nucleoside transport					
GO:1990544	mitochondrial ATP transmembrane transport	GO:0015859	intracellular nucleoside transport					
GO:1990554	mitochondrial 3'-phospho-5'-adenylyl sulfate transmembrane transport	GO:0015859	intracellular nucleoside transport					
GO:1990543	mitochondrial S-adenosyl-L-methionine transmembrane transport	GO:0015859	intracellular nucleoside transport					
GO:1990553	mitochondrial 5'-adenylyl sulfate transmembrane transport	GO:0015859	intracellular nucleoside transport					
GO:0044461	bacterial-type flagellum part	GO:0044424	intracellular part					
GO:0061741	chaperone-mediated protein transport involved in chaperone-mediated autophagy	GO:0065002	intracellular protein transmembrane transport					
GO:0007038	endocytosed protein transport to vacuole	GO:0006886	intracellular protein transport					
GO:0043001	Golgi to plasma membrane protein transport	GO:0006886	intracellular protein transport					
GO:0072008	glomerular mesangial cell differentiation	GO:0072071	kidney interstitial fibroblast differentiation					
GO:0070384	Harderian gland development	GO:0032808	lacrimal gland development					
GO:1901126	candicidin catabolic process	GO:1901335	lactone catabolic process					
GO:1902774	late endosome to lysosome transport	GO:0045324	late endosome to vacuole transport					
GO:0001909	leukocyte mediated cytotoxicity	GO:0002443	leukocyte mediated immunity					
GO:0048194	Golgi vesicle budding	GO:0051668	localization within membrane					
GO:0070676	intralumenal vesicle formation	GO:0051668	localization within membrane					
GO:0090114	COPII-coated vesicle budding	GO:0051668	localization within membrane					
GO:0035727	lysophosphatidic acid binding	GO:0036041	long-chain fatty acid binding					
GO:1901127	candicidin biosynthetic process	GO:0033068	macrolide biosynthetic process					
GO:1901125	candicidin metabolic process	GO:0033067	macrolide metabolic process					
GO:0030163	protein catabolic process	GO:0009057	macromolecule catabolic process					
GO:0019538	protein metabolic process	GO:0043170	macromolecule metabolic process					
GO:0008320	protein transmembrane transporter activity	GO:0022884	macromolecule transmembrane transporter activity					
GO:0000240	diplotene	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0098768	meiotic prometaphase I	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0000241	diakinesis	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0007132	meiotic metaphase I	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0000238	zygotene	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0007134	meiotic telophase I	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0000239	pachytene	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0000237	leptotene	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0007128	meiotic prophase I	GO:0098764	meiosis I cell cycle phase	1	1			
GO:0044844	meiotic interphase II	GO:0098765	meiosis II cell cycle phase	1	1			
GO:0098765	meiosis II cell cycle phase	GO:0098762	meiotic cell cycle phase	1	1			
GO:0051330	meiotic G1 phase	GO:0098762	meiotic cell cycle phase	?				
